fold,seed,task,rank,draws,primary_mean,cross_session_mean
0,0,mi,4,100,0.6615713492935399,0.6661238079655162
0,0,erp,4,100,0.5473304167356042,0.5606553815876019
0,0,ssvep,8,100,0.6967731092436976,0.6974873949579833
0,1,mi,7,100,0.6693302959388592,0.6717779804573156
0,1,erp,7,100,0.5461668900328736,0.5357988233491927
0,1,ssvep,8,100,0.6794873949579832,0.6814285714285715
1,0,mi,7,100,0.654599288582905,0.6574276548460088
1,0,erp,7,100,0.6107037685482528,0.6219553684081848
1,0,ssvep,8,100,0.680546218487395,0.6807731092436975
1,1,mi,4,100,0.629680238838136,0.6314669739700083
1,1,erp,4,100,0.4406978612508132,0.4134666383519623
1,1,ssvep,8,100,0.6879579831932773,0.689075630252101
2,0,mi,8,100,0.6344842337483239,0.6405175001225563
2,0,erp,4,100,0.520966101871033,0.5384166146642428
2,0,ssvep,4,100,0.7105798319327732,0.7094285714285715
2,1,mi,8,100,0.6597907418715954,0.6589167820031796
2,1,ssvep,8,100,0.6694705882352942,0.6700084033613446
