fold,seed,task,metric,subject,session_or_direction,protected,random_mean,delta,representation,n_controls
0,0,mi,alignment,11,1,0.9227335508960938,0.35190855037578395,0.5708250005203098,random,100
0,0,mi,alignment,11,2,0.9081974353090141,0.052161306225693566,0.8560361290833205,random,100
0,0,mi,alignment,12,1,0.8876194968621858,0.4742116961759353,0.4134078006862505,random,100
0,0,mi,alignment,12,2,0.856053657125836,0.6557863966939288,0.20026726043190723,random,100
0,0,mi,alignment,15,1,0.900156082405339,-0.05570766406871089,0.9558637464740498,random,100
0,0,mi,alignment,15,2,0.7006640171476644,0.25266142114846274,0.4480025959992016,random,100
0,0,mi,alignment,16,1,0.920297864622133,0.23660549117403232,0.6836923734481007,random,100
0,0,mi,alignment,16,2,0.9696437364007183,0.3209357624842369,0.6487079739164814,random,100
0,0,mi,alignment,18,1,0.9973902574570105,0.514009460515963,0.4833807969410475,random,100
0,0,mi,alignment,18,2,0.989797635740478,0.286684093146852,0.7031135425936259,random,100
0,0,mi,alignment,20,1,0.8656139353211739,0.5285274455682719,0.337086489752902,random,100
0,0,mi,alignment,20,2,0.9712975591029247,0.33937202648836035,0.6319255326145643,random,100
0,0,mi,alignment,21,1,0.9556463241505013,0.5313577818878197,0.42428854226268164,random,100
0,0,mi,alignment,21,2,0.9303586351963011,0.4378923217668245,0.4924663134294766,random,100
0,0,mi,alignment,22,1,0.9309614609763533,0.23768107290706816,0.6932803880692852,random,100
0,0,mi,alignment,22,2,0.868370048733726,0.22468363935268687,0.6436864093810392,random,100
0,0,mi,alignment,23,1,0.994744179216276,0.4930903372516734,0.5016538419646026,random,100
0,0,mi,alignment,23,2,0.973397508673504,0.5303129843983391,0.443084524275165,random,100
0,0,mi,alignment,24,1,0.9411607362382508,0.5737687021845669,0.3673920340536839,random,100
0,0,mi,alignment,24,2,0.48598087947803686,0.5003065583310851,-0.014325678853048196,random,100
0,0,mi,alignment,25,1,0.7157721082658989,0.21187897202458342,0.5038931362413155,random,100
0,0,mi,alignment,25,2,0.9657006346481178,0.22922816016497355,0.7364724744831443,random,100
0,0,mi,alignment,26,1,0.9061540273392434,-0.025925826107549323,0.9320798534467928,random,100
