fold,seed,task,dimensions,primary,cross_session
0,0,mi,16,0.4308733055280098,0.43985403004123824
0,0,erp,16,0.2807632141329037,0.31104235012777065
0,0,ssvep,12,0.47815126050420165,0.46722689075630264
0,1,mi,13,0.43279107604063943,0.43780078363970387
0,1,erp,13,0.4420913785689449,0.4055163104508141
0,1,ssvep,12,0.6596638655462187,0.6596638655462187
1,0,mi,13,0.5505470463892967,0.5515676767227452
1,0,erp,13,0.33886680172435835,0.3709336921753298
1,0,ssvep,12,0.47142857142857153,0.45630252100840346
1,1,mi,16,0.5507397834359747,0.5505146417398331
1,1,erp,16,0.3792147797329898,0.33051105619694654
1,1,ssvep,12,0.42941176470588244,0.4168067226890757
2,0,mi,12,0.5152694841896939,0.5221970441702558
2,0,erp,16,0.3181858938743551,0.35877749422191174
2,0,ssvep,16,0.7319327731092438,0.7319327731092438
2,1,mi,12,0.5791556886761096,0.5702914271602918
2,1,ssvep,12,0.29579831932773115,0.29327731092436987
