dataset,seed,alpha,policy,label,metric,value
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,1.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,5.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.369313063063063
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4377224892907342
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.5309329689402822
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.43541986342876693
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,0,0.1,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,1.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,5.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.369313063063063
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4377224892907342
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.5309329689402822
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.43541986342876693
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,0,0.2,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.013513513513513514
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.16216216216216217
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.8378378378378378
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.61447072072072
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.3457207207207207
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.468905630054032
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.5698536443075379
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.47030604861355685
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,1,0.1,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.20270270270270271
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.7972972972972973
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.478434684684684
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.3457207207207207
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.468905630054032
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.5698536443075379
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.47030604861355685
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,1,0.2,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.06756756756756757
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.2972972972972973
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.7027027027027027
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.3822635135135135
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.36762387387387385
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4389646561455557
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.529715286553852
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.4469194069796585
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,2,0.1,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.013513513513513514
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.20270270270270271
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.7972972972972973
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.612668918918919
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.36762387387387385
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4389646561455557
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.529715286553852
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.4469194069796585
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,2,0.2,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.013513513513513514
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.02702702702702703
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.972972972972973
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.968918918918919
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.35726351351351354
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4695695319352989
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.562941294049909
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.47009462999312446
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,3,0.1,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,1.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,5.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.35726351351351354
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.4695695319352989
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.562941294049909
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.47009462999312446
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,3,0.2,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.05405405405405406
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.9459459459459459
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,average_set_size,4.924887387387387
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,argmax_error,0.43029279279279276
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,macro_f1,0.42130085962184005
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,balanced_accuracy,0.5304147620396402
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,cohen_kappa,0.37493606734395024
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,gain_vs_no_tta,0.0
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,tta_selection_rate,0.0
cap,4,0.1,joint_hsc_tta_v2,exploratory_tainted_external,selected_tta_ppv,
cap,4,0.2,joint_hsc_tta_v2,exploratory_tainted_external,violation,0.0
cap,4,0.2,joint_hsc_tta_v2,exploratory_tainted_external,csr,0.02702702702702703
cap,4,0.2,joint_hsc_tta_v2,exploratory_tainted_external,full_set_fallback,0.972972972972973
