dataset,seed,alpha,policy,label,metric,value
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,1.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,5.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.39951923076923074
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.4430765652292674
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5356679307262944
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4241377814063178
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,0,0.1,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,1.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,5.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.39951923076923074
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.4430765652292674
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5356679307262944
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4241377814063178
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,0,0.2,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.19230769230769232
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.8076923076923077
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.55400641025641
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.40625
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.46328009838487694
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5380743329573066
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4207489314962695
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,1,0.1,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.11538461538461539
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.8846153846153846
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.753846153846154
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.40625
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.46328009838487694
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5380743329573066
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4207489314962695
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,1,0.2,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,1.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,5.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.41298076923076926
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.4604220241157545
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5446169124335379
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.41775897590206884
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,2,0.1,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,1.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,5.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.41298076923076926
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.4604220241157545
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5446169124335379
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.41775897590206884
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,2,0.2,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.038461538461538464
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.9615384615384616
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.927564102564103
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.3802884615384615
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.49228778291798264
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5750532257836964
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4683359997870393
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,3,0.1,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.038461538461538464
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.07692307692307693
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.9230769230769231
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.806089743589744
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.3802884615384615
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.49228778291798264
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.5750532257836964
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.4683359997870393
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,3,0.2,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.07692307692307693
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.9230769230769231
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.918269230769231
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.5216346153846154
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.3792646407500439
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.49958317919950707
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.3069464081168599
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,4,0.1,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,violation,0.0
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,csr,0.19230769230769232
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,full_set_fallback,0.8076923076923077
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,average_set_size,4.669391025641025
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,argmax_error,0.5216346153846154
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,macro_f1,0.3792646407500439
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,balanced_accuracy,0.49958317919950707
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,cohen_kappa,0.3069464081168599
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,gain_vs_no_tta,0.0
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,tta_selection_rate,0.0
hmc,4,0.2,joint_hsc_tta_v2,exploratory_tainted_final,selected_tta_ppv,
