dataset,fold,seed,EEGNet_BA,LiteBN_BA,delta_pp,EEGNet_macro_F1,LiteBN_macro_F1,EEGNet_epoch,LiteBN_epoch,delta60_pp
OpenBMI,0,0,0.8,0.8262499999999999,2.6249999999999885,0.7980293041049831,0.8239583329302678,57,35,2.0000000000000018
OpenBMI,0,1,0.80875,0.8474999999999999,3.874999999999995,0.806677976171448,0.8449032613884042,54,54,4.374999999999996
OpenBMI,0,2,0.7875000000000001,0.8474999999999999,5.999999999999983,0.780918245946379,0.846630385617235,53,40,4.125000000000001
OpenBMI,1,0,0.8125,0.8325,2.0000000000000018,0.8098641814985617,0.8303223777063318,56,58,1.374999999999993
OpenBMI,1,1,0.8,0.8275,2.749999999999997,0.7957906109970995,0.8261809793876833,54,50,1.749999999999996
OpenBMI,1,2,0.8175,0.81125,-0.6249999999999978,0.8161797614802044,0.8085280457822113,53,56,1.0000000000000009
OpenBMI,2,0,0.6875,0.7275,4.0000000000000036,0.6837343060916314,0.7222554584824781,30,60,2.750000000000008
OpenBMI,2,1,0.71,0.70375,-0.6249999999999978,0.7058326386749478,0.6903102115551489,41,51,1.375000000000015
OpenBMI,2,2,0.7262500000000001,0.7012499999999999,-2.5000000000000133,0.7236488849087463,0.6740618281021977,59,59,-2.749999999999997
OpenBMI,3,0,0.76,0.7875000000000001,2.750000000000008,0.7585738439416407,0.7851528645934953,58,60,2.8750000000000053
OpenBMI,3,1,0.7275,0.7725,4.499999999999993,0.7235652583217089,0.768770785980129,54,51,3.750000000000009
OpenBMI,3,2,0.74875,0.7737499999999999,2.499999999999991,0.7465470850840701,0.7698341281025516,53,57,2.500000000000002
OpenBMI,4,0,0.72875,0.78375,5.499999999999994,0.725820765399561,0.7764506670099987,56,58,4.875000000000007
OpenBMI,4,1,0.71625,0.765,4.8749999999999964,0.7121783676146245,0.7573989663006897,56,29,7.500000000000007
OpenBMI,4,2,0.7549999999999999,0.7849999999999999,3.0000000000000027,0.7530065537615324,0.7781610666931474,56,43,6.6250000000000036
WBCIC,0,0,0.7714285714285715,0.7792857142857141,0.7857142857142674,0.7663173858192158,0.7776895502867539,20,58,-2.6428571428571246
WBCIC,0,1,0.8007142857142856,0.7792857142857142,-2.1428571428571352,0.7986912665488786,0.7761792898209254,36,42,-14.78571428571428
WBCIC,0,2,0.7714285714285715,0.7428571428571428,-2.857142857142869,0.7662152809900292,0.7301584410530803,32,18,-17.928571428571427
WBCIC,1,0,0.8125,0.7733333333333333,-3.9166666666666683,0.8121228120711376,0.7532636467401564,50,59,-5.6666666666666865
WBCIC,1,1,0.8266666666666667,0.7808333333333333,-4.583333333333339,0.8255335875759973,0.7610955785155274,50,46,-3.500000000000003
WBCIC,1,2,0.8166666666666668,0.7975,-1.9166666666666776,0.8131671987728514,0.7810060356850855,45,31,-3.2499999999999862
WBCIC,2,0,0.7491666666666666,0.7558333333333334,0.666666666666671,0.7454095174814169,0.7545843026841036,59,42,1.3333333333333308
WBCIC,2,1,0.7583333333333333,0.7508333333333335,-0.749999999999984,0.7568293359935397,0.7466603017478439,54,42,-0.6666666666666821
WBCIC,2,2,0.7549999999999999,0.745,-0.9999999999999898,0.7533688352650666,0.7280817788934137,58,36,-0.5833333333333357
WBCIC,3,0,0.8146811868686868,0.8405408249158249,2.585963804713809,0.8141112934835281,0.8399306310758425,36,36,2.1604587542087605
WBCIC,3,1,0.8029366582491583,0.8372337962962964,3.4297138047138076,0.8024242492190398,0.836847213883506,46,27,1.7473695286195134
WBCIC,3,2,0.8088310185185185,0.8339436026936027,2.511258417508422,0.8080971522368318,0.8322947269752211,30,27,0.0807028619528527
WBCIC,4,0,0.7675,0.7875000000000001,2.000000000000013,0.76478390305574,0.7856051426792515,33,51,2.0000000000000018
WBCIC,4,1,0.7683333333333332,0.7733333333333334,0.5000000000000226,0.7671425899804968,0.7720559078578494,39,30,0.33333333333332993
WBCIC,4,2,0.7633333333333335,0.7616666666666667,-0.16666666666668162,0.761625422914472,0.7613223331560919,16,23,-0.33333333333334103
