dataset,seed,mean_delta_pp_over_folds,fold_std_pp
OpenBMI,0,3.374999999999999,1.2449899597988718
OpenBMI,1,3.0749999999999966,1.9852581696091791
OpenBMI,2,1.6749999999999932,2.9618406439239755
WBCIC,0,0.42433561808561837,2.2886229211649165
WBCIC,1,-0.7092953342953257,2.6705324789306424
WBCIC,2,-0.6858435545935593,1.8340755779209696
