dataset,grand_mean_delta_pp,median_subject_delta_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,improved_subjects,harmed_subjects,tied_subjects,positive_folds,positive_seed_means,fraction_subjects_gain_ge_1pp,fraction_subjects_harm_le_minus_1pp
OpenBMI,2.708333333333333,2.5000000000000018,1.3247916666666661,4.216666666666666,30,6,4,5,3,0.625,0.15
WBCIC,-0.35847724557401905,0.16666666666666682,-1.7241120886282173,0.9514540566959919,16,15,0,2,1,0.41935483870967744,0.3870967741935484
