dataset,fold,seed,subject_id,EEGNet_BA,LiteBN_BA,delta_pp,EEGNet_macro_F1,LiteBN_macro_F1,EEGNet_accuracy,LiteBN_accuracy,delta60_pp
OpenBMI,0,0,15,0.8300000000000001,0.87,3.9999999999999925,0.8298468621759583,0.8698828946051447,0.83,0.87,1.000000000000012
OpenBMI,0,0,38,0.76,0.77,1.0000000000000009,0.7519636213311285,0.757153415690001,0.76,0.77,-6.000000000000005
OpenBMI,0,0,6,0.9299999999999999,0.9099999999999999,-2.0000000000000018,0.9298245614035088,0.9099189270343309,0.93,0.91,4.0000000000000036
OpenBMI,0,0,33,0.76,0.88,12.0,0.7552019583843329,0.8799519807923168,0.76,0.88,17.999999999999993
OpenBMI,0,0,32,0.65,0.7,4.999999999999993,0.6496847162446202,0.6998799519807923,0.65,0.7,-1.9999999999999907
OpenBMI,0,0,3,0.84,0.87,3.0000000000000027,0.8383838383838383,0.8699869986998701,0.84,0.87,2.0000000000000018
OpenBMI,0,0,5,0.73,0.75,2.0000000000000018,0.72997299729973,0.7469379491851402,0.73,0.75,-1.0000000000000009
OpenBMI,0,0,47,0.8999999999999999,0.86,-3.9999999999999925,0.8993558776167472,0.8579545454545454,0.9,0.86,0.0
OpenBMI,0,1,15,0.86,0.86,0.0,0.8590982286634461,0.8590982286634461,0.86,0.86,-2.9999999999999916
OpenBMI,0,1,38,0.79,0.75,-4.0000000000000036,0.7837503861600247,0.7406369955389562,0.79,0.75,3.0000000000000027
OpenBMI,0,1,6,0.9099999999999999,0.97,6.000000000000005,0.9097744360902256,0.96999699969997,0.91,0.97,2.0000000000000018
OpenBMI,0,1,33,0.76,0.9099999999999999,14.999999999999991,0.7536945812807883,0.9099189270343309,0.76,0.91,13.99999999999999
OpenBMI,0,1,32,0.6699999999999999,0.75,8.000000000000007,0.6691729323308271,0.7457023700539112,0.67,0.75,10.999999999999998
OpenBMI,0,1,3,0.8500000000000001,0.94,8.999999999999986,0.849624060150376,0.9399038461538461,0.85,0.94,9.999999999999986
OpenBMI,0,1,5,0.73,0.72,-1.0000000000000009,0.7286704853783539,0.7144022847817217,0.73,0.72,5.000000000000004
OpenBMI,0,1,47,0.8999999999999999,0.8799999999999999,-2.0000000000000018,0.8996386993175431,0.8795664391810518,0.9,0.88,-6.999999999999984
OpenBMI,0,2,15,0.81,0.87,5.999999999999995,0.8076728413807066,0.8696741854636592,0.81,0.87,7.000000000000006
OpenBMI,0,2,38,0.66,0.74,7.9999999999999964,0.6353496353496353,0.7348021215830274,0.66,0.74,3.0000000000000027
OpenBMI,0,2,6,0.95,0.9199999999999999,-3.0000000000000027,0.9499549594635172,0.9199679871948779,0.95,0.92,-2.0000000000000018
OpenBMI,0,2,33,0.8,0.9,9.999999999999998,0.797077922077922,0.8999599839935974,0.8,0.9,10.999999999999998
OpenBMI,0,2,32,0.6599999999999999,0.78,12.00000000000001,0.6578099838969405,0.779205138498595,0.66,0.78,9.000000000000007
OpenBMI,0,2,3,0.9,0.88,-2.0000000000000018,0.8999599839935974,0.88,0.9,0.88,-0.9999999999999898
OpenBMI,0,2,5,0.68,0.79,10.999999999999998,0.6637242538881883,0.7894736842105263,0.68,0.79,3.0000000000000027
OpenBMI,0,2,47,0.8400000000000001,0.9,5.999999999999995,0.8357963875205254,0.8999599839935974,0.84,0.9,3.0000000000000027
OpenBMI,1,0,26,0.86,0.85,-1.0000000000000009,0.859775641025641,0.84998499849985,0.86,0.85,1.9999999999999907
OpenBMI,1,0,2,0.81,0.78,-3.0000000000000027,0.8090644156366193,0.7796474358974359,0.81,0.78,-2.0000000000000018
OpenBMI,1,0,14,0.72,0.75,3.0000000000000027,0.7126436781609196,0.7457023700539112,0.72,0.75,-2.0000000000000018
OpenBMI,1,0,31,0.8,0.79,-1.0000000000000009,0.7960016319869441,0.7874278773155178,0.8,0.79,-1.0000000000000009
OpenBMI,1,0,28,0.78,0.9299999999999999,14.999999999999991,0.7726333195535345,0.9298245614035088,0.78,0.93,15.999999999999993
OpenBMI,1,0,35,0.86,0.8,-5.999999999999995,0.8590982286634461,0.7933030177759405,0.86,0.8,-6.999999999999995
OpenBMI,1,0,40,0.8200000000000001,0.81,-1.0000000000000009,0.8197115384615384,0.8067338012409724,0.82,0.81,0.0
OpenBMI,1,0,43,0.85,0.95,9.999999999999998,0.84998499849985,0.9499549594635172,0.85,0.95,4.999999999999993
OpenBMI,1,1,26,0.8300000000000001,0.87,3.9999999999999925,0.8286117552172598,0.8696741854636592,0.83,0.87,4.999999999999993
OpenBMI,1,1,2,0.76,0.75,-1.0000000000000009,0.7552019583843329,0.7487689679429204,0.76,0.75,4.0000000000000036
OpenBMI,1,1,14,0.7,0.71,1.0000000000000009,0.6921182266009853,0.7092731829573935,0.7,0.71,-4.0000000000000036
OpenBMI,1,1,31,0.8500000000000001,0.8,-5.000000000000004,0.849624060150376,0.797077922077922,0.85,0.8,-6.999999999999995
OpenBMI,1,1,28,0.72,0.94,21.999999999999996,0.7083333333333334,0.9397832195905259,0.72,0.94,20.000000000000007
OpenBMI,1,1,35,0.81,0.8400000000000001,3.0000000000000027,0.8028841166096068,0.8357963875205254,0.81,0.84,3.0000000000000027
OpenBMI,1,1,40,0.85,0.8200000000000001,-2.9999999999999916,0.84998499849985,0.8193496587715776,0.85,0.82,-2.0000000000000018
OpenBMI,1,1,43,0.8799999999999999,0.8899999999999999,1.0000000000000009,0.8795664391810518,0.8897243107769424,0.88,0.89,-4.999999999999993
OpenBMI,1,2,26,0.87,0.84,-3.0000000000000027,0.8696741854636592,0.8399359743897559,0.87,0.84,-2.0000000000000018
OpenBMI,1,2,2,0.84,0.7,-14.000000000000002,0.8399359743897559,0.6921182266009853,0.84,0.7,-3.0000000000000027
OpenBMI,1,2,14,0.72,0.7,-2.0000000000000018,0.7171717171717171,0.696969696969697,0.72,0.7,7.9999999999999964
OpenBMI,1,2,31,0.76,0.85,8.999999999999996,0.7575757575757576,0.84998499849985,0.76,0.85,8.999999999999996
OpenBMI,1,2,28,0.8400000000000001,0.9099999999999999,6.999999999999984,0.8389694041867954,0.9095568284594513,0.84,0.91,6.999999999999995
OpenBMI,1,2,35,0.86,0.81,-4.999999999999993,0.8572011423908609,0.8028841166096068,0.86,0.81,-3.0000000000000027
OpenBMI,1,2,40,0.79,0.8300000000000001,4.0000000000000036,0.7889659330720531,0.8286117552172598,0.79,0.83,-8.000000000000007
OpenBMI,1,2,43,0.86,0.85,-1.0000000000000009,0.8599439775910365,0.8481627695110842,0.86,0.85,0.0
OpenBMI,2,0,50,0.6699999999999999,0.63,-3.9999999999999925,0.6697027324592133,0.6236395076797885,0.67,0.63,2.0000000000000018
OpenBMI,2,0,52,0.78,0.81,3.0000000000000027,0.779205138498595,0.8090644156366193,0.78,0.81,8.000000000000007
OpenBMI,2,0,23,0.7,0.74,4.0000000000000036,0.6980676328502415,0.7348021215830274,0.7,0.74,2.0000000000000018
OpenBMI,2,0,1,0.63,0.65,2.0000000000000018,0.6254681647940075,0.6266666666666667,0.63,0.65,-3.9999999999999925
OpenBMI,2,0,30,0.69,0.75,6.000000000000005,0.6862030569895738,0.7493734335839599,0.69,0.75,5.000000000000004
OpenBMI,2,0,48,0.6699999999999999,0.66,-0.9999999999999898,0.6624040920716112,0.6565656565656566,0.67,0.66,-4.999999999999993
OpenBMI,2,0,11,0.71,0.73,2.0000000000000018,0.6991389148251893,0.7286704853783539,0.71,0.73,3.0000000000000027
OpenBMI,2,0,8,0.65,0.8500000000000001,20.000000000000007,0.6496847162446202,0.8492613807657522,0.65,0.85,11.00000000000001
OpenBMI,2,1,50,0.63,0.63,0.0,0.6236395076797885,0.6296667000300271,0.63,0.63,-3.9999999999999925
OpenBMI,2,1,52,0.79,0.8,1.0000000000000009,0.7889659330720531,0.797077922077922,0.79,0.8,4.0000000000000036
OpenBMI,2,1,23,0.6799999999999999,0.78,10.000000000000009,0.6767676767676768,0.7777777777777778,0.68,0.78,7.000000000000006
OpenBMI,2,1,1,0.6799999999999999,0.75,7.000000000000006,0.6767676767676768,0.7442455242966752,0.68,0.75,7.9999999999999964
OpenBMI,2,1,30,0.79,0.59,-20.000000000000007,0.7874278773155178,0.5327635327635327,0.79,0.59,-14.000000000000002
OpenBMI,2,1,48,0.73,0.6,-13.0,0.7293233082706767,0.5659722222222222,0.73,0.6,-7.9999999999999964
OpenBMI,2,1,11,0.71,0.6699999999999999,-4.0000000000000036,0.6938021328265231,0.6673051718923279,0.71,0.67,3.0000000000000027
OpenBMI,2,1,8,0.67,0.81,14.000000000000002,0.66996699669967,0.8076728413807066,0.67,0.81,15.000000000000002
OpenBMI,2,2,50,0.6,0.53,-6.999999999999995,0.5941558441558441,0.4106583072100314,0.6,0.53,-14.000000000000002
OpenBMI,2,2,52,0.81,0.78,-3.0000000000000027,0.8067338012409724,0.7688104245481295,0.81,0.78,-4.999999999999993
OpenBMI,2,2,23,0.77,0.73,-4.0000000000000036,0.769792813532179,0.7175436761167486,0.77,0.73,3.0000000000000027
OpenBMI,2,2,1,0.69,0.64,-4.999999999999993,0.6884735202492211,0.6043956043956044,0.69,0.64,-3.0000000000000027
OpenBMI,2,2,30,0.79,0.78,-1.0000000000000009,0.7898108297467721,0.7708333333333333,0.79,0.78,0.0
OpenBMI,2,2,48,0.63,0.62,-1.0000000000000009,0.628178072555522,0.5924495924495925,0.63,0.62,-1.0000000000000009
