regime,task,dataset,fold,split,epoch,BA,macro_F1,accuracy,best_epoch,early_stop_epoch
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,0,0.708554292929293,0.7029707514107101,0.7085897435897436,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,1,0.7035959595959597,0.700667632901878,0.7036153846153846,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,2,0.7065959595959596,0.7025075845562825,0.7066153846153845,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,3,0.7065959595959596,0.7034012271046178,0.7066153846153845,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,4,0.7045959595959597,0.700996497089872,0.7046153846153846,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,0,0,5,0.7046060606060607,0.7009660246504414,0.7046410256410256,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,0,0.8946906565656565,0.894527013111162,0.8946153846153846,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,1,0.8946906565656565,0.894534224261139,0.8946153846153846,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,2,0.8886691919191918,0.8885113086045816,0.8886410256410257,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,3,0.8946691919191918,0.8945540233775857,0.8946410256410257,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,4,0.8916691919191919,0.8915395381927078,0.8916410256410255,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,5,0.8976691919191919,0.8975804643003198,0.8976410256410257,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,6,0.8937108585858585,0.8935907556965936,0.8936666666666667,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,7,0.896669191919192,0.8965829896791897,0.8966410256410257,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,8,0.896669191919192,0.896573071553188,0.8966410256410257,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,9,0.8946691919191918,0.8945811880577302,0.8946410256410255,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,1,0,10,0.8916691919191919,0.8915752870579476,0.8916410256410255,5,10
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,0,0.877,0.8767241246539903,0.877,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,1,0.876,0.8756924345933663,0.876,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,2,0.875,0.874683308886806,0.875,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,3,0.874,0.8736565779499523,0.874,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,4,0.8780000000000001,0.8776695506679655,0.8780000000000001,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,5,0.8760000000000001,0.875646423599519,0.8760000000000001,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,6,0.873,0.8726050161108955,0.873,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,7,0.874,0.873639167714287,0.874,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,8,0.873,0.8726335847659312,0.873,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,2,0,9,0.874,0.873639167714287,0.874,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,0,0.745,0.7413544763320312,0.745,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,1,0.739,0.7346513570654808,0.7390000000000001,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,2,0.7390000000000001,0.7345328606524262,0.7390000000000001,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,3,0.74,0.7354409310301879,0.74,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,4,0.746,0.7423795973088771,0.746,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,5,0.7430000000000001,0.7378338748169458,0.7430000000000001,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,6,0.7459999999999999,0.7447461819712137,0.746,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,7,0.7449999999999999,0.7435583161633683,0.745,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,8,0.7449999999999999,0.7440076411241862,0.745,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,3,0,9,0.744,0.7417344068857945,0.744,4,9
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,4,0,0,0.765,0.7621664583571769,0.765,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,4,0,1,0.761,0.75629168408749,0.761,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,4,0,2,0.7620000000000001,0.7588771142872242,0.7620000000000001,0,5
XRA_G2_ADAPTER_SCALE_LAST_MIXER,WBCIC_MI,WBCIC,4,0,3,0.7629999999999999,0.7578121092807903,0.763,0,5
