dataset,alpha,ablation,joint_violation_rate,average_set_size,intervention_rate,sentinel_rate,status
eegmmidb,0.1,calibration_size_10,0.05333333333333334,3.744576023391813,0.013333333333333334,0.0,measured
eegmmidb,0.1,calibration_size_12,0.03111111111111111,3.7622797270955166,0.013333333333333334,0.0,measured
eegmmidb,0.2,calibration_size_10,0.04888888888888889,3.3869941520467832,0.013333333333333334,0.0,measured
eegmmidb,0.2,calibration_size_12,0.035555555555555556,3.4227719298245614,0.013333333333333334,0.0,measured
hmc,0.1,calibration_size_10,0.08363636363636363,3.7090454545454543,0.12363636363636364,0.36,measured
hmc,0.1,calibration_size_12,0.07272727272727272,3.758848484848485,0.12363636363636364,0.36,measured
hmc,0.2,calibration_size_10,0.06545454545454546,3.148393939393939,0.12,0.16,measured
hmc,0.2,calibration_size_12,0.05454545454545454,3.200060606060606,0.12,0.16,measured
