dataset,alpha,ablation,joint_violation_rate,average_set_size,intervention_rate,sentinel_rate,status
eegmmidb,0.2,without_temporal_stability,0.057777777777777775,3.56306432748538,0.21777777777777776,0.24,measured
eegmmidb,0.2,without_update_gate,0.035555555555555556,3.4227719298245614,0.013333333333333334,0.0,measured
hmc,0.1,actionwise_simultaneous_certificate,0.05090909090909091,5.0,1.0,1.0,measured
hmc,0.1,calibration_size_10,0.08363636363636363,3.7090454545454543,0.12363636363636364,0.36,measured
hmc,0.1,calibration_size_12,0.07272727272727272,3.758848484848485,0.12363636363636364,0.36,measured
hmc,0.1,epsilon_0.0,0.07636363636363637,4.076439393939394,0.08727272727272728,0.48,measured
hmc,0.1,epsilon_0.01,0.05454545454545454,3.9072272727272725,0.12363636363636364,0.4,measured
hmc,0.1,epsilon_0.02,0.03636363636363636,3.840196969696969,0.14181818181818182,0.36,measured
hmc,0.1,g_set_only,0.07272727272727272,4.2022272727272725,0.88,0.56,measured
hmc,0.1,no_pseudo_episodes,0.05454545454545454,3.9072272727272725,0.12363636363636364,0.4,measured
hmc,0.1,number_actions_1_adapter,0.04,4.078469696969697,0.18545454545454546,0.48,measured
hmc,0.1,number_actions_1_t3a,0.04727272727272727,3.725484848484849,0.0,0.32,measured
hmc,0.1,number_actions_2,0.05454545454545454,3.9072272727272725,0.12363636363636364,0.4,measured
hmc,0.1,probecert_v3,0.05454545454545454,3.9072272727272725,0.12363636363636364,0.4,measured
hmc,0.1,risk_only_without_noninferiority,0.06545454545454546,3.724439393939394,0.12363636363636364,0.32,measured
hmc,0.1,without_augmentation_consistency,0.05454545454545454,3.9070909090909094,0.13818181818181818,0.4,measured
hmc,0.1,without_collapse_gate,0.05454545454545454,3.9072272727272725,0.12363636363636364,0.4,measured
hmc,0.1,without_source_drift,0.05818181818181818,3.906833333333333,0.19272727272727272,0.4,measured
hmc,0.1,without_temporal_stability,0.05090909090909091,4.016939393939394,0.4036363636363636,0.44,measured
hmc,0.1,without_update_gate,0.05454545454545454,3.9072272727272725,0.13090909090909092,0.4,measured
hmc,0.2,actionwise_simultaneous_certificate,0.05090909090909091,5.0,1.0,1.0,measured
hmc,0.2,calibration_size_10,0.06545454545454546,3.148393939393939,0.12,0.16,measured
hmc,0.2,calibration_size_12,0.05454545454545454,3.200060606060606,0.12,0.16,measured
hmc,0.2,epsilon_0.0,0.06909090909090909,3.72719696969697,0.09454545454545454,0.4,measured
hmc,0.2,epsilon_0.01,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,epsilon_0.02,0.04,2.990878787878788,0.13454545454545455,0.04,measured
hmc,0.2,g_set_only,0.07636363636363637,3.6580000000000004,0.88,0.4,measured
hmc,0.2,no_pseudo_episodes,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,number_actions_1_adapter,0.05454545454545454,3.1345303030303033,0.1890909090909091,0.12,measured
hmc,0.2,number_actions_1_t3a,0.05454545454545454,2.865772727272727,0.0,0.0,measured
hmc,0.2,number_actions_2,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,probecert_v3,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,risk_only_without_noninferiority,0.06545454545454546,2.864227272727273,0.12,0.0,measured
hmc,0.2,without_augmentation_consistency,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,without_collapse_gate,0.03636363636363636,3.2578939393939392,0.12,0.16,measured
hmc,0.2,without_source_drift,0.03636363636363636,3.308242424242424,0.2,0.2,measured
hmc,0.2,without_temporal_stability,0.04363636363636364,3.3118939393939395,0.41818181818181815,0.2,measured
hmc,0.2,without_update_gate,0.03636363636363636,3.2578484848484845,0.12727272727272726,0.16,measured
all,0.1,no_adapt_probe_split,,,,,not_comparable_from_frozen_1:1_surfaces
all,0.1,high_dimensional_v2_features,,,,,not_comparable_from_frozen_1:1_surfaces
all,0.1,adapt_probe_ratio_sensitivity,,,,,not_comparable_from_frozen_1:1_surfaces
all,0.2,no_adapt_probe_split,,,,,not_comparable_from_frozen_1:1_surfaces
all,0.2,high_dimensional_v2_features,,,,,not_comparable_from_frozen_1:1_surfaces
all,0.2,adapt_probe_ratio_sensitivity,,,,,not_comparable_from_frozen_1:1_surfaces
