dataset,space,K,observations,global_auroc,global_auroc_ci95_lower,global_auroc_ci95_upper,global_spearman,global_spearman_ci95_lower,global_spearman_ci95_upper
OpenBMI,C,1,260,0.6449672461577223,0.571740873052135,0.715819674789094,0.22235306750344466,0.11007399791960508,0.3336770063653543
OpenBMI,C,2,260,0.5819475938523558,0.4985280847516872,0.665016617087233,0.16369422838728076,0.025464565549180727,0.3010379834747938
OpenBMI,C,4,260,0.6184177374653566,0.521273877433871,0.7114432289538465,0.21656054435997188,0.07037562768227767,0.35671809329314147
OpenBMI,M,1,260,0.5648431756922323,0.49213996067845417,0.636616643694914,0.07797560829974973,-0.04722967184061077,0.20182492219789044
OpenBMI,M,2,260,0.556266846361186,0.4828779554585173,0.632217224312878,0.11945583804984032,-0.01442954896510092,0.25785352302689607
OpenBMI,M,4,260,0.569008821367312,0.48707422787082955,0.6522575596009837,0.13281274936969623,-0.017121783433107753,0.27999481149202127
OpenBMI,CM,1,260,0.5876259971554016,0.5173114870863095,0.6584869206614758,0.10602927139750228,-0.028389325614571543,0.24040915022527162
OpenBMI,CM,2,260,0.5824933522973225,0.5050919429095698,0.6639410622387006,0.1454635641269384,-0.0034314018105904916,0.29642708087738623
OpenBMI,CM,4,260,0.5767423164924865,0.48815073885658916,0.6658391185214784,0.15199486972412168,-0.013329611701808693,0.3151214976728152
WBCIC,C,1,198,0.6597455845248108,0.5842131850057627,0.7297171802372663,0.27215629728461765,0.13205905480984065,0.407750966739356
WBCIC,C,2,198,0.6833999158957107,0.6104377044845145,0.7581510287982037,0.3402806580468597,0.21104869634485549,0.46706720802188884
WBCIC,C,4,198,0.6750946173254837,0.592569337843728,0.752027516434232,0.32668323515693365,0.1660476259026229,0.46586194387735147
WBCIC,M,1,198,0.43729423868312756,0.3455646068347654,0.5322017104856452,-0.13645532311868744,-0.3005969144049871,0.037815133835597335
WBCIC,M,2,198,0.4776748971193415,0.3811859992543922,0.5715662596796206,-0.08063174624079049,-0.2667174239677949,0.1113337262942121
WBCIC,M,4,198,0.4815329218106996,0.39206444858273426,0.5675182229288777,-0.09185055380920208,-0.2458033816670226,0.056010597184868345
WBCIC,CM,1,198,0.4579385736595523,0.36992905082143046,0.5440411362928939,-0.12092334223466145,-0.2829800642087446,0.04624683469136888
WBCIC,CM,2,198,0.4877667881311817,0.3922420823482144,0.5794061032693704,-0.04475025334500715,-0.2221496680030287,0.13938495900738004
WBCIC,CM,4,198,0.4944820406038521,0.39984531254720684,0.5810484590546566,-0.0544562032202353,-0.21117509604833476,0.09308330019587213
