dataset,space,K,fold,same_auroc,different_auroc,auroc_advantage,nonnegative_advantage
OpenBMI,C,4,0,0.6,0.5328125,0.06718749999999996,True
OpenBMI,C,4,1,0.7953125000000001,0.45156250000000003,0.34375000000000006,True
OpenBMI,C,4,2,0.8333333333333334,0.7769097222222222,0.05642361111111116,True
OpenBMI,C,4,3,0.6964285714285714,0.5796130952380953,0.11681547619047605,True
OpenBMI,C,4,4,0.7892156862745098,0.6111111111111112,0.17810457516339862,True
OpenBMI,M,4,0,0.6281859070464768,0.4752623688155922,0.15292353823088461,True
OpenBMI,M,4,1,0.7015625000000001,0.55,0.15156250000000004,True
OpenBMI,M,4,2,0.5833333333333334,0.4293154761904762,0.15401785714285715,True
OpenBMI,M,4,3,0.6828124999999999,0.58671875,0.09609374999999998,True
OpenBMI,M,4,4,0.7145135566188198,0.6842105263157894,0.030303030303030387,True
OpenBMI,CM,4,0,0.6267942583732058,0.4864433811802233,0.1403508771929825,True
OpenBMI,CM,4,1,0.7320574162679425,0.5661881977671451,0.1658692185007974,True
OpenBMI,CM,4,2,0.6121212121212122,0.41666666666666663,0.19545454545454555,True
OpenBMI,CM,4,3,0.59375,0.5364583333333334,0.05729166666666663,True
OpenBMI,CM,4,4,0.733652312599681,0.6746411483253587,0.05901116427432229,True
WBCIC,C,4,0,0.8397435897435898,0.8798076923076923,-0.04006410256410253,False
WBCIC,C,4,1,0.8106060606060607,0.7651515151515151,0.045454545454545525,True
WBCIC,C,4,2,0.8177083333333333,0.7135416666666666,0.10416666666666663,True
WBCIC,C,4,3,0.7802197802197802,0.8516483516483516,-0.0714285714285714,False
WBCIC,C,4,4,0.5656565656565656,0.29924242424242425,0.2664141414141414,True
WBCIC,M,4,0,0.7357954545454546,0.2642045454545454,0.47159090909090917,True
WBCIC,M,4,1,0.6090225563909775,0.41604010025062654,0.19298245614035092,True
WBCIC,M,4,2,0.6815476190476191,0.48214285714285715,0.19940476190476192,True
WBCIC,M,4,3,0.6458333333333334,0.5476190476190477,0.0982142857142857,True
WBCIC,M,4,4,0.47733333333333333,0.5146666666666666,-0.037333333333333274,False
WBCIC,CM,4,0,0.6927536231884058,0.33478260869565224,0.3579710144927536,True
WBCIC,CM,4,1,0.5421994884910486,0.5396419437340154,0.002557544757033181,True
WBCIC,CM,4,2,0.6208791208791209,0.6112637362637363,0.009615384615384581,True
WBCIC,CM,4,3,0.6904761904761905,0.6101190476190477,0.0803571428571428,True
WBCIC,CM,4,4,0.5173333333333333,0.496,0.021333333333333315,True
