dataset,space,K1_AUROC,K2_AUROC,K4_AUROC,K1_Spearman,K2_Spearman,K4_Spearman,Delta_AUROC_K2_minus_K1,Delta_AUROC_K4_minus_K2,Delta_Spearman_K2_minus_K1,Delta_Spearman_K4_minus_K2
OpenBMI,C,0.6617535903250189,0.6600529100529101,0.7375913328294281,0.23952346840397226,0.2701972417048186,0.41910708174801853,-0.00170068027210879,0.07753842277651801,0.030673773300846363,0.1489098400431999
OpenBMI,M,0.6447561872090174,0.681021808380299,0.6606836559666749,0.2855867553578938,0.35407560675362043,0.33926102205496,0.036265621171281626,-0.020338152413624133,0.06848885139572664,-0.014814584698660427
OpenBMI,CM,0.6635334858697668,0.6780038340238698,0.6525261270175005,0.28954477682900387,0.35743250682447564,0.35167716271653315,0.014470348154102974,-0.02547770700636931,0.06788772999547177,-0.005755344107942484
WBCIC,C,0.7381202691337259,0.7333894028595458,0.7692388561816652,0.4689123931215512,0.46610404382635806,0.49414192912389404,-0.004730866274180068,0.03584945332211942,-0.0028083492951931355,0.02803788529753598
WBCIC,M,0.5552469135802469,0.5724279835390946,0.6151234567901235,0.16300323263191135,0.1855226792069662,0.20941960369924306,0.017181069958847717,0.04269547325102885,0.022519446575054836,0.023896924492276872
WBCIC,CM,0.5494013534617387,0.5537740760020823,0.6059344091618948,0.16447172379077646,0.1848049789244211,0.21894366788003475,0.004372722540343599,0.0521603331598125,0.020333255133644645,0.034138688955613644
