observation_id,task,dataset,fold,seed,space,round,K,subject_A,subject_B,different_subjects,global_subjects,m_per_class,B_blocks_disjoint,A_B_disjoint,controls_exclude_A_B,gradient_mode,c_same,c_different,c_global,g_B_norm,g_different_norm,g_global_norm,future_harm,harm_label,loss_B_future_before,loss_B_future_after,checkpoint_sha256,normalizer_sha256
OpenBMI_MI:f0:C:r0:B=1:A=2,OpenBMI_MI,OpenBMI,0,0,C,0,1,2,1,48,40,8,True,True,True,eval_dropout_disabled,1.5844959762034705e-06,4.915342287858948e-06,1.0142030987481121e-05,0.005281656980514526,0.016384486109018326,0.03380679339170456,5.364418029785156e-07,1,0.5119907855987549,0.5119913220405579,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=1:A=2,OpenBMI_MI,OpenBMI,0,0,C,0,2,2,1,48;49,40;41,8,True,True,True,eval_dropout_disabled,1.429157146048965e-05,5.772428266936913e-06,9.854434210865293e-06,0.047638606280088425,0.019241441041231155,0.032848138362169266,5.364418029785156e-07,1,0.5119907855987549,0.5119913220405579,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=1:A=2,OpenBMI_MI,OpenBMI,0,0,C,0,4,2,1,48;49;50;52,40;41;43;44,8,True,True,True,eval_dropout_disabled,6.801939434808446e-06,-1.0247511994521119e-07,6.249197213037405e-06,0.022673148661851883,0.0003415839746594429,0.0208306722342968,5.364418029785156e-07,1,0.5119907855987549,0.5119913220405579,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=2:A=7,OpenBMI_MI,OpenBMI,0,0,C,0,1,7,2,10,49,8,True,True,True,eval_dropout_disabled,-4.622163032763638e-06,1.5793768397998065e-05,7.815890967322048e-06,0.015407215803861618,0.05264591425657272,0.02605297788977623,1.564621925354004e-06,1,0.23373165726661682,0.23373322188854218,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=2:A=7,OpenBMI_MI,OpenBMI,0,0,C,0,2,7,2,10;16,49;50,8,True,True,True,eval_dropout_disabled,-7.654119144717697e-06,1.0712616131058894e-05,3.194323880961747e-06,0.02551373839378357,0.03570873290300369,0.010647749528288841,1.564621925354004e-06,1,0.23373165726661682,0.23373322188854218,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=2:A=7,OpenBMI_MI,OpenBMI,0,0,C,0,4,7,2,10;16;20;21,49;50;52;53,8,True,True,True,eval_dropout_disabled,-3.9226706576300785e-06,8.198072464438155e-06,-6.617254371121817e-07,0.013075573369860649,0.0273269172757864,0.0022057523019611835,1.564621925354004e-06,1,0.23373165726661682,0.23373322188854218,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=7:A=10,OpenBMI_MI,OpenBMI,0,0,C,0,1,10,7,27,44,8,True,True,True,eval_dropout_disabled,1.3018886420468334e-05,-7.605767677887343e-06,-7.336372618738096e-06,0.043396297842264175,0.025352565571665764,0.02445458061993122,-2.175569534301758e-06,0,0.28147512674331665,0.28147295117378235,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=7:A=10,OpenBMI_MI,OpenBMI,0,0,C,0,2,10,7,27;28,44;45,8,True,True,True,eval_dropout_disabled,7.115590960893314e-06,-2.0790614598809043e-06,-9.185049748339225e-06,0.023718642070889473,0.006930206902325153,0.030616838485002518,-2.175569534301758e-06,0,0.28147512674331665,0.28147295117378235,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=7:A=10,OpenBMI_MI,OpenBMI,0,0,C,0,4,10,7,27;28;30;31,44;45;46;48,8,True,True,True,eval_dropout_disabled,1.0394665878266096e-05,-8.933714525483083e-06,2.768670412933716e-07,0.034648895263671875,0.02977905422449112,0.00092289038002491,-2.175569534301758e-06,0,0.28147512674331665,0.28147295117378235,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=10:A=16,OpenBMI_MI,OpenBMI,0,0,C,0,1,16,10,53,53,8,True,True,True,eval_dropout_disabled,-1.579376657900866e-05,4.075724518770585e-06,1.118367708841106e-05,0.05264591425657272,0.013585755601525307,0.03727894276380539,-5.662441253662109e-06,0,0.6512323617935181,0.6512266993522644,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=10:A=16,OpenBMI_MI,OpenBMI,0,0,C,0,2,16,10,53;1,53;1,8,True,True,True,eval_dropout_disabled,-6.42947452433873e-06,1.2456141575967195e-06,-7.907487997727003e-06,0.021431593224406242,0.00415204931050539,0.026358306407928467,-5.662441253662109e-06,0,0.6512323617935181,0.6512266993522644,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=10:A=16,OpenBMI_MI,OpenBMI,0,0,C,0,4,16,10,53;1;2;7,53;1;2;7,8,True,True,True,eval_dropout_disabled,-5.26047779203509e-06,5.033068191551138e-06,-9.791518778001773e-07,0.017534935846924782,0.016776902601122856,0.0032638413831591606,-5.662441253662109e-06,0,0.6512323617935181,0.6512266993522644,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=16:A=20,OpenBMI_MI,OpenBMI,0,0,C,0,1,20,16,7,10,8,True,True,True,eval_dropout_disabled,-5.631464318867074e-06,1.3018886420468334e-05,2.934817530331202e-06,0.018771551549434662,0.043396297842264175,0.009782727807760239,7.450580596923828e-06,1,0.5397751331329346,0.5397825837135315,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=16:A=20,OpenBMI_MI,OpenBMI,0,0,C,0,2,20,16,7;10,10;21,8,True,True,True,eval_dropout_disabled,-1.461786951040267e-06,-1.3874421256332425e-06,5.296115546116198e-07,0.004872624296694994,0.004624808207154274,0.0017653722316026688,7.450580596923828e-06,1,0.5397751331329346,0.5397825837135315,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=16:A=20,OpenBMI_MI,OpenBMI,0,0,C,0,4,20,16,7;10;21;22,10;21;22;23,8,True,True,True,eval_dropout_disabled,-1.1165312798766536e-06,-2.5625963644415606e-06,2.9065768103464507e-06,0.0037217719946056604,0.00854199007153511,0.009688591584563255,7.450580596923828e-06,1,0.5397751331329346,0.5397825837135315,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
