dataset,space,K,observations,target_subjects,harm_rate,same_auroc,same_auroc_ci95_lower,same_auroc_ci95_upper,same_spearman,same_spearman_ci95_lower,same_spearman_ci95_upper,different_auroc,different_spearman,auroc_advantage,auroc_advantage_ci95_lower,auroc_advantage_ci95_upper,spearman_advantage,spearman_advantage_ci95_lower,spearman_advantage_ci95_upper,primary_K4
OpenBMI,C,1,260,40,0.3769230769230769,0.6617535903250189,0.559952684490557,0.7587153663801198,0.23952346840397226,0.04986883905571181,0.4116943431272269,0.6064499874023683,0.15536966377564337,0.055303602922650574,-0.0584410406684958,0.17228811936673982,0.08415380462832889,-0.1320072118737623,0.2946232979693862,False
OpenBMI,C,2,260,40,0.3769230769230769,0.6600529100529101,0.5576220975281498,0.7583941902516527,0.2701972417048186,0.07885111150663808,0.4457712869849926,0.6509196271101033,0.23621380872960557,0.009133282942806797,-0.08365247537968672,0.10186925546678474,0.03398343297521306,-0.13132673194936664,0.1943666907122612,False
OpenBMI,C,4,260,40,0.3769230769230769,0.7375913328294281,0.6392041978081555,0.829512604884532,0.41910708174801853,0.24668097487110496,0.5732689498071065,0.5907659360040313,0.10182557311945305,0.14682539682539686,0.04311264638163337,0.2509486417130276,0.31728150862856547,0.13597343030761405,0.4960891665040901,True
OpenBMI,M,1,260,40,0.4076923076923077,0.6447561872090174,0.5562229029795914,0.7268569424854047,0.2855867553578938,0.10035335276509899,0.45582924716413925,0.5746446949277139,0.07623460219802657,0.07011149228130353,-0.03867184397305214,0.178836265501012,0.20935215315986722,0.0021864051410033134,0.4181421905899104,False
OpenBMI,M,2,260,40,0.4076923076923077,0.681021808380299,0.5995271444098423,0.7587680569215638,0.35407560675362043,0.1768094853251098,0.5135359753438521,0.5705096790002451,0.07601082657584411,0.11051212938005395,0.002809392691509874,0.2148514699874944,0.2780647801777763,0.07175939086997167,0.4783708559776885,False
OpenBMI,M,4,260,40,0.4076923076923077,0.6606836559666749,0.5781371136496175,0.7372398459030719,0.33926102205496,0.1872162341995396,0.48022352247136174,0.5499877481009556,0.0630372918346148,0.11069590786571926,0.001065531274577654,0.21995281381379636,0.2762237302203452,0.07293262113183518,0.47331417730191166,True
OpenBMI,CM,1,260,40,0.39615384615384613,0.6635334858697668,0.5737202247745417,0.7468537320611961,0.28954477682900387,0.10685084493444139,0.4586702974037565,0.5587471399418712,0.06881974740897369,0.1047863459278956,-0.012176986477322715,0.21808240322395372,0.2207250294200302,0.007564302752071276,0.43683971774964436,False
OpenBMI,CM,2,260,40,0.39615384615384613,0.6780038340238698,0.5936604330144911,0.7604845331258474,0.35743250682447564,0.18308670273885325,0.5187816067735539,0.5539236905571702,0.08190318732449076,0.1240801434666996,0.02759946497517922,0.2198682281432696,0.2755293194999849,0.07719263154545371,0.47594760867480396,False
OpenBMI,CM,4,260,40,0.39615384615384613,0.6525261270175005,0.5666064649383218,0.7396198292448292,0.35167716271653315,0.1993613195014276,0.49929340508217934,0.5348154103023931,0.048337882808242846,0.11771071671510736,0.01053627860966451,0.2265146933320451,0.3033392799082903,0.1038550672761071,0.4974776305603073,True
WBCIC,C,1,198,31,0.41414141414141414,0.7381202691337259,0.6417976287541215,0.8323641179251332,0.4689123931215512,0.31439002985826936,0.6033124910221439,0.6170626576955425,0.25834884855621726,0.12105761143818339,-0.004294944240071814,0.24428509059458509,0.21056354456533394,0.029000055048031093,0.39675233079847555,False
