stage,task,dataset,fold,space,base_sha256_before,base_sha256_after,bitwise_unchanged,stored_residual_sha256_before,stored_residual_sha256_after,stored_residual_bitwise_unchanged
identity_preflight,OpenBMI_MI,OpenBMI,0,ALL,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,2e29b2bb1e97924066f09a6eee5a7e81991f104d63bfebea150624c3777347ee,True,,,
identity_preflight,OpenBMI_MI,OpenBMI,1,ALL,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,15eb7248147d252ba1a92e0d29b6568a772187fece75d70f725d4fae694136cb,True,,,
identity_preflight,OpenBMI_MI,OpenBMI,2,ALL,a8c15be0161403752f096145f17682816ced956c4aed76f6107ff4e914be9091,a8c15be0161403752f096145f17682816ced956c4aed76f6107ff4e914be9091,True,,,
identity_preflight,OpenBMI_MI,OpenBMI,3,ALL,eab36becaed2e29b96283e0dc3ccd504736910750be62df4756b21f3f83c410f,eab36becaed2e29b96283e0dc3ccd504736910750be62df4756b21f3f83c410f,True,,,
identity_preflight,OpenBMI_MI,OpenBMI,4,ALL,0470ddb6f39cce3eae1f84bbe29e50f51dc7cd86710a08fd0181c8c0e4450f68,0470ddb6f39cce3eae1f84bbe29e50f51dc7cd86710a08fd0181c8c0e4450f68,True,,,
identity_preflight,WBCIC_MI,WBCIC,0,ALL,fb758a86aa7c869fd7b34ee66e09f4969d28b41c6fdf375a2a8f46620eb68dd9,fb758a86aa7c869fd7b34ee66e09f4969d28b41c6fdf375a2a8f46620eb68dd9,True,,,
identity_preflight,WBCIC_MI,WBCIC,1,ALL,c446e75ee810e3839541aead607dbc5a5f61945cfcafd8db6bb683dd1d3653be,c446e75ee810e3839541aead607dbc5a5f61945cfcafd8db6bb683dd1d3653be,True,,,
identity_preflight,WBCIC_MI,WBCIC,2,ALL,1ba0e875f3bf7e15dcac9f58d99cf39535ca8e3f5c1f7523eb073120884b2b11,1ba0e875f3bf7e15dcac9f58d99cf39535ca8e3f5c1f7523eb073120884b2b11,True,,,
identity_preflight,WBCIC_MI,WBCIC,3,ALL,b9a72a958bf9d5d2da62a768ee6790fcde8d498ca932693b169651b40c5cabde,b9a72a958bf9d5d2da62a768ee6790fcde8d498ca932693b169651b40c5cabde,True,,,
identity_preflight,WBCIC_MI,WBCIC,4,ALL,639e7c6fa8d610ff3ca76b49f6d04bfddb7c68c88f589b9a9bb6b976b250715a,639e7c6fa8d610ff3ca76b49f6d04bfddb7c68c88f589b9a9bb6b976b250715a,True,,,
