task,dataset,fold,seed,space,gradient_mode,probe_subject,probe_block,loss,checkpoint_sha256,normalizer_sha256,parameter_tensors_total,parameter_tensors_nonzero_gradient,scalar_parameters_total,scalar_elements_abs_grad_gt_1e12,fraction_scalar_active,parameter_names
OpenBMI_MI,OpenBMI,3,0,M,eval_dropout_disabled,1,B1,0.33220425248146057,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,3,0,CM,eval_dropout_disabled,1,B1,0.33220425248146057,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,4,0,C,eval_dropout_disabled,1,B1,0.3110794126987457,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
OpenBMI_MI,OpenBMI,4,0,M,eval_dropout_disabled,1,B1,0.3110794126987457,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,4,0,CM,eval_dropout_disabled,1,B1,0.3110794126987457,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,0,0,C,eval_dropout_disabled,sub-1,B1,0.21627090871334076,7fe7b939e760fcc91ed6b8035a9f611f8f2839a442b36810a75ca6ff89c3b267,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
WBCIC_MI,WBCIC,0,0,M,eval_dropout_disabled,sub-1,B1,0.21627090871334076,7fe7b939e760fcc91ed6b8035a9f611f8f2839a442b36810a75ca6ff89c3b267,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,0,0,CM,eval_dropout_disabled,sub-1,B1,0.21627090871334076,7fe7b939e760fcc91ed6b8035a9f611f8f2839a442b36810a75ca6ff89c3b267,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,1,0,C,eval_dropout_disabled,sub-5,B1,0.3051128685474396,838161c589c8ba47b6ac391b90d97ce785fc98b277f84d3d22730e126122838f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
WBCIC_MI,WBCIC,1,0,M,eval_dropout_disabled,sub-5,B1,0.3051128685474396,838161c589c8ba47b6ac391b90d97ce785fc98b277f84d3d22730e126122838f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
