task,model,seed,BA,Macro_F1,n_biological_subjects
OpenBMI_ERP,LiteBN,0,0.8465454545454545,0.8040400000928571,14
OpenBMI_ERP,LiteBN,1,0.8445064935064935,0.8004365471232969,14
OpenBMI_ERP,LiteBN,2,0.8528484848484849,0.8101791751086306,14
OpenBMI_ERP,TFFormer,0,0.8498051948051949,0.8072978464010914,14
OpenBMI_ERP,TFFormer,1,0.846030303030303,0.8054369560217651,14
OpenBMI_ERP,TFFormer,2,0.8525324675324676,0.8120745102348744,14
OpenBMI_MI,LiteBN,0,0.7448571428571429,0.7371565373269794,14
OpenBMI_MI,LiteBN,1,0.7507142857142857,0.7397796720930565,14
OpenBMI_MI,LiteBN,2,0.7515714285714286,0.7443258672631119,14
OpenBMI_MI,TFFormer,0,0.7415714285714285,0.7329032693546874,14
OpenBMI_MI,TFFormer,1,0.7534285714285714,0.7424478164502762,14
OpenBMI_MI,TFFormer,2,0.7497142857142858,0.7418764707958211,14
OpenBMI_SSVEP,LiteBN,0,0.907,0.9058052181881714,14
OpenBMI_SSVEP,LiteBN,1,0.9112857142857143,0.9107307772496702,14
OpenBMI_SSVEP,LiteBN,2,0.9124285714285714,0.9109049592639602,14
OpenBMI_SSVEP,TFFormer,0,0.9142857142857143,0.9134900933931173,14
OpenBMI_SSVEP,TFFormer,1,0.9109999999999999,0.9104641387532826,14
OpenBMI_SSVEP,TFFormer,2,0.9134285714285715,0.9120241549281893,14
WBCIC_MI,LiteBN,0,0.8093,0.8079176653660076,10
WBCIC_MI,LiteBN,1,0.8058,0.8039074046868162,10
WBCIC_MI,LiteBN,2,0.7990999999999999,0.7950826853119008,10
WBCIC_MI,TFFormer,0,0.8107,0.8097164213622399,10
WBCIC_MI,TFFormer,1,0.8063,0.8053231268336939,10
WBCIC_MI,TFFormer,2,0.8065999999999999,0.8054078274303892,10
