task,model,subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,repeated_runs,protected_rank_mean,protected_rank_min,protected_rank_max
OpenBMI_ERP,LiteBN,12,0.9522424242424242,0.8176565656565657,0.8934385858585859,13.45858585858586,5.880383838383838,7.578202020202022,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,13,0.8895959595959596,0.7635959595959595,0.8345232323232322,12.6,5.5072727272727295,7.092727272727272,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,17,0.7624444444444445,0.6365252525252525,0.7022981818181818,12.591919191919192,6.014626262626267,6.577292929292925,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,18,0.825070707070707,0.7042222222222222,0.7573329292929293,12.084848484848484,6.773777777777779,5.311070707070704,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,24,0.7315151515151516,0.6440808080808081,0.6823595959595959,8.743434343434341,4.915555555555556,3.8278787878787868,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,25,0.6596969696969697,0.5793131313131313,0.6155363636363637,8.038383838383838,4.416060606060608,3.622323232323231,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,29,0.7543434343434344,0.6516767676767677,0.694559393939394,10.26666666666667,5.978404040404043,4.288262626262625,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,36,0.9468686868686869,0.8110909090909091,0.8940870707070707,13.577777777777776,5.278161616161613,8.299616161616163,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,37,0.9073939393939394,0.7588080808080808,0.8417480808080808,14.85858585858586,6.564585858585861,8.294,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,39,0.6648686868686868,0.5832929292929293,0.6302852525252526,8.157575757575758,3.458343434343434,4.699232323232325,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,4,0.8119999999999999,0.6816565656565656,0.7370383838383838,13.034343434343436,7.4961616161616185,5.538181818181815,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,42,0.7981818181818182,0.6586060606060606,0.7359852525252525,13.957575757575759,6.219656565656563,7.737919191919196,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,51,0.6832727272727274,0.587010101010101,0.6362501010101009,9.626262626262625,4.702262626262625,4.924000000000002,15,4.733333333333333,0,12
OpenBMI_ERP,LiteBN,54,0.6453939393939394,0.5774141414141414,0.6143680808080808,6.7979797979797985,3.102585858585861,3.6953939393939383,15,4.733333333333333,0,12
OpenBMI_ERP,TFFormer,12,0.9534949494949495,0.7955757575757576,0.8902456565656567,15.79191919191919,6.324929292929286,9.466989898989903,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,13,0.8879191919191919,0.7623232323232324,0.8305484848484849,12.559595959595958,5.737070707070702,6.822525252525256,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,17,0.7717575757575758,0.6361010101010101,0.700380404040404,13.565656565656566,7.137717171717175,6.427939393939392,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,18,0.8277575757575757,0.6648282828282829,0.7477539393939393,16.292929292929294,8.000363636363646,8.292565656565648,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,24,0.733979797979798,0.6177979797979798,0.6727773737373738,11.618181818181819,6.120242424242421,5.497939393939399,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,25,0.6675353535353535,0.5594545454545455,0.6169206060606061,10.808080808080808,5.061474747474745,5.746606060606063,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,29,0.7596363636363637,0.6247878787878788,0.6910575757575758,13.484848484848488,6.8578787878787875,6.6269696969697,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,36,0.9510707070707071,0.8072323232323233,0.8913830303030303,14.383838383838386,5.9687676767676745,8.41507070707071,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,37,0.9128080808080807,0.7454545454545455,0.8387983838383838,16.735353535353536,7.4009696969697,9.334383838383838,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,39,0.6694141414141414,0.5632929292929293,0.629310505050505,10.612121212121213,4.010363636363637,6.601757575757575,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,4,0.8168282828282828,0.6598181818181817,0.7338054545454545,15.701010101010102,8.30228282828283,7.398727272727272,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,42,0.8002626262626262,0.6262828282828283,0.7279638383838383,17.397979797979797,7.229878787878791,10.168101010101005,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,51,0.6900404040404041,0.5679797979797979,0.6365543434343434,12.206060606060607,5.34860606060606,6.857454545454546,15,5.333333333333333,0,9
OpenBMI_ERP,TFFormer,54,0.6493131313131314,0.559030303030303,0.6113840404040404,9.028282828282828,3.7929090909090886,5.235373737373738,15,5.333333333333333,0,9
OpenBMI_MI,LiteBN,12,0.7573333333333333,0.6086666666666667,0.6974866666666666,14.866666666666669,5.984666666666671,8.881999999999998,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,13,0.6953333333333334,0.552,0.6479866666666667,14.333333333333327,4.734666666666661,9.598666666666666,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,17,0.6066666666666667,0.532,0.5743533333333334,7.466666666666665,3.2313333333333305,4.235333333333334,15,6.133333333333334,4,8
