task,model,fold,seed,absolute_CE_harm_CI95,absolute_CE_harm_mean,block,coordinates,excess_CE_harm_CI95,excess_CE_harm_mean,persistence_supported,protected,rank,rho_G,rho_null_p95,selection_subjects
OpenBMI_MI,LiteBN,0,0,"[-0.0006470429932643039, 0.0014545053989454954]",0.0004229386499784009,0,[0],"[-0.0101175360902864, -0.007080534628404199]",-0.008557315201907584,True,False,1,0.6216073358713735,0.28729658248530676,25
OpenBMI_MI,LiteBN,0,0,"[0.0003309031523788375, 0.001460121040557575]",0.0008796012003139523,1,[1],"[-0.009597356699263905, -0.006643851209014235]",-0.008086547712396901,True,False,1,0.4186554578185301,0.15447495299361144,25
OpenBMI_MI,LiteBN,0,0,"[0.001207631751978692, 0.004088935828014007]",0.0026362245271655763,2,[2],"[-0.007922998093833209, -0.004523530676407093]",-0.006253325800044594,True,False,1,0.23964682543741422,0.10069545479750294,25
OpenBMI_MI,LiteBN,0,0,"[0.05239574716007635, 0.08377919568623637]",0.06741852704275308,3,"[3, 4, 5, 6]","[0.019417577726128264, 0.04939170410101155]",0.03375112310088559,True,True,4,0.13006652256911255,0.030776481030605013,25
OpenBMI_MI,LiteBN,0,0,"[0.09844369118385916, 0.12789575627188174]",0.11269567227986389,4,"[7, 8, 9, 10]","[0.07653348359487588, 0.10329882793067606]",0.08941642979520159,True,True,4,0.033447238948772384,0.010468270781387486,25
OpenBMI_MI,LiteBN,0,0,"[-0.0016431379913966516, 0.0012503649409122035]",-0.00019437291158561437,5,"[11, 12, 13, 14]","[-0.056632360274314494, -0.043159540209751705]",-0.049931364906078676,False,False,4,0.004836225359172955,0.006713012320275636,25
OpenBMI_MI,LiteBN,0,0,"[0.012575422262196767, 0.01821693300803984]",0.01548971413716282,6,"[15, 16, 17, 18]","[-0.037449509253221734, -0.02342020749508946]",-0.03014999715697689,False,False,4,-0.012931237014776343,0.00859744354409261,25
OpenBMI_MI,LiteBN,0,0,"[-0.00039183681052336745, 0.00010010063397931046]",-0.00012056169406517904,7,[19],"[-0.011470518170872962, -0.008710900989970826]",-0.010085502755118101,False,False,1,-0.03455187614771551,0.025101117573562776,25
OpenBMI_MI,LiteBN,0,1,"[-0.0003022040361266952, 9.49593874026886e-05]",-0.0001016389338601663,0,[0],"[-0.01590015750050636, -0.012840524364895406]",-0.014298591909355285,True,False,1,0.5889069230831506,0.2280663912378201,26
OpenBMI_MI,LiteBN,0,1,"[0.004856714349176304, 0.008666078967127672]",0.006729193652088724,1,"[1, 2, 3]","[-0.03958124996636818, -0.030464729725619165]",-0.03509581263504088,True,False,3,0.24356780733184924,0.07422055415698356,26
