task,model,fold,seed,subject_id,trials,BA,Macro_F1,evaluation_scope,prediction_source
OpenBMI_MI,LiteBN,0,0,4,100,0.8,0.797077922077922,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,12,100,0.7,0.6875,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,13,100,0.6799999999999999,0.6794871794871795,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,17,100,0.65,0.6457131288591963,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,18,100,0.6399999999999999,0.6386993175431553,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,24,100,0.55,0.5248653785239151,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,25,100,0.96,0.9599358974358974,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,29,100,0.65,0.6499649964996499,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,36,100,0.9099999999999999,0.9097744360902256,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,37,100,0.72,0.7126436781609196,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,39,100,0.76,0.7596153846153846,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,42,100,0.69,0.6892230576441103,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,51,100,0.7,0.6921182266009853,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,0,54,100,0.71,0.7076318177235609,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,4,100,0.78,0.7726333195535344,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,12,100,0.79,0.7874278773155178,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,13,100,0.66,0.6427070197562001,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,17,100,0.62,0.6161616161616162,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,18,100,0.74,0.7395833333333335,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,24,100,0.5800000000000001,0.5251017639077341,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,25,100,0.99,0.98999899989999,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,29,100,0.8300000000000001,0.8291628982011858,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,36,100,0.96,0.9599358974358974,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,37,100,0.8,0.797077922077922,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,39,100,0.78,0.7799119647859143,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
OpenBMI_MI,LiteBN,0,1,42,100,0.7,0.6921182266009853,OpenBMI 14-subject internal-heldout diagnostic,cached 64-d h + frozen final Linear readout; no neural inference
