task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,baseline_reused
OpenBMI_MI,OpenBMI,0,2,15,LiteBN_BASELINE,0.87,0.8696741854636592,0.87,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,15,LiteBN_XS,0.85,0.8481627695110842,0.85,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,3,LiteBN_BASELINE,0.88,0.88,0.88,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,3,LiteBN_XS,0.91,0.90999099909991,0.91,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,32,LiteBN_BASELINE,0.78,0.779205138498595,0.78,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,32,LiteBN_XS,0.71,0.7076318177235609,0.71,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,33,LiteBN_BASELINE,0.9,0.8999599839935974,0.9,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,33,LiteBN_XS,0.8999999999999999,0.8996386993175431,0.9,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,38,LiteBN_BASELINE,0.74,0.7348021215830274,0.74,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,38,LiteBN_XS,0.6,0.5604395604395604,0.6,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,47,LiteBN_BASELINE,0.9,0.8999599839935974,0.9,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,47,LiteBN_XS,0.74,0.7241086587436333,0.74,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,5,LiteBN_BASELINE,0.79,0.7894736842105263,0.79,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,5,LiteBN_XS,0.72,0.7106242248863166,0.72,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,0,2,6,LiteBN_BASELINE,0.9199999999999999,0.9199679871948779,0.92,100,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,True
OpenBMI_MI,OpenBMI,0,2,6,LiteBN_XS,0.9299999999999999,0.9299369432489241,0.93,100,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
OpenBMI_MI,OpenBMI,1,2,14,LiteBN_BASELINE,0.7,0.696969696969697,0.7,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,14,LiteBN_XS,0.7,0.696969696969697,0.7,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,2,LiteBN_BASELINE,0.7,0.6921182266009853,0.7,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,2,LiteBN_XS,0.75,0.7493734335839599,0.75,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,26,LiteBN_BASELINE,0.84,0.8399359743897559,0.84,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,26,LiteBN_XS,0.9299999999999999,0.9298245614035088,0.93,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,28,LiteBN_BASELINE,0.9099999999999999,0.9095568284594513,0.91,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,28,LiteBN_XS,0.9099999999999999,0.9095568284594513,0.91,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,31,LiteBN_BASELINE,0.85,0.84998499849985,0.85,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,31,LiteBN_XS,0.8300000000000001,0.8298468621759583,0.83,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,35,LiteBN_BASELINE,0.81,0.8028841166096068,0.81,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,35,LiteBN_XS,0.8899999999999999,0.8894583458948849,0.89,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
OpenBMI_MI,OpenBMI,1,2,40,LiteBN_BASELINE,0.8300000000000001,0.8286117552172598,0.83,100,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,True
OpenBMI_MI,OpenBMI,1,2,40,LiteBN_XS,0.72,0.7126436781609196,0.72,100,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
