task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,posthoc_exploratory,baseline_reused
OpenBMI_ERP,OpenBMI,0,0,3,LiteBN_BASELINE,0.9236363636363636,0.8307939160069486,0.8828282828282829,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True
OpenBMI_ERP,OpenBMI,0,0,3,LiteBN_XS,0.9287878787878788,0.8520335329341318,0.9015151515151516,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,False
OpenBMI_ERP,OpenBMI,0,0,5,LiteBN_BASELINE,0.6463636363636364,0.56605291005291,0.646969696969697,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True
OpenBMI_ERP,OpenBMI,0,0,5,LiteBN_XS,0.7127272727272728,0.6489850704689063,0.7454545454545455,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,False
OpenBMI_ERP,OpenBMI,0,0,6,LiteBN_BASELINE,0.8821212121212121,0.7882878228596301,0.85,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True
OpenBMI_ERP,OpenBMI,0,0,6,LiteBN_XS,0.896060606060606,0.8247166467065868,0.8833333333333333,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,False
OpenBMI_ERP,OpenBMI,0,0,15,LiteBN_BASELINE,0.7884848484848486,0.760514905465532,0.8535353535353535,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True
OpenBMI_ERP,OpenBMI,0,0,15,LiteBN_XS,0.7460606060606061,0.7295077319100456,0.8393939393939394,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,False
OpenBMI_ERP,OpenBMI,0,0,32,LiteBN_BASELINE,0.9045454545454544,0.8104684567231942,0.8671717171717171,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,True
OpenBMI_ERP,OpenBMI,0,0,32,LiteBN_XS,0.9354545454545456,0.8684913288459566,0.9146464646464646,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,True,False
