task,dataset,fold,architecture,seed,parameter_count,selected_epoch,best_inner_val_BA,best_inner_val_macro_F1,checkpoint_path,checkpoint_sha256,normalizer_sha256,batch_manifest_sha256,class_weighted_ce,epochs_completed,early_stopped,elapsed_seconds_this_invocation,runner_sha256
OpenBMI_MI,OpenBMI,0,LiteBN_XS,2,219767,60,0.7516666666666666,0.744619730023032,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_mi/fold0_litebn_xs/selected_best.pt,43a9d206303842fef2273283f1f01898aedb37678f3c9ff184c8a5fe284f5990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,c371ec3ab1b22105ee426cadaaf94dbecea4edd562abfe80ab8c2dd5051601df,False,60,False,0.010119812563061714,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_MI,OpenBMI,1,LiteBN_XS,2,219767,47,0.8066666666666666,0.8050044488041547,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_mi/fold1_litebn_xs/selected_best.pt,9c7f0561c828cf6f5bcbf8d5c6e71613c7608304e87b86de3567c44f9d9438dd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,a0e8f1ae32150b29681e6f759528083062775364f634c3eced7615d3df9f3ed0,False,58,True,5.089164632372558,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_MI,OpenBMI,2,LiteBN_XS,2,219767,23,0.7949999999999999,0.7864945125160459,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_mi/fold2_litebn_xs/selected_best.pt,0f2ecea39a5e0c7b9d4af2d3cf6d49d1cdb2d3ab35c4a92a01685e85ce160ad8,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,f377b95fca32cac942eeada95bf0ebe5eb1c0ae2fe4162817ae3e747e2c0584e,False,34,True,3.267826589755714,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_MI,OpenBMI,3,LiteBN_XS,2,219767,45,0.8083333333333332,0.8065267805274473,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_mi/fold3_litebn_xs/selected_best.pt,1a9c60a0a354decefd3095b8a39ca949ca8128dba78abe6ba11a1e7903f897ae,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,22b84a265f6a9d46f4b904c6c554e490698bd38d78c9d3e99cf7e1573ed92815,False,56,True,3.2711322670802474,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_MI,OpenBMI,4,LiteBN_XS,2,219767,56,0.7599999999999999,0.7574503283531158,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_mi/fold4_litebn_xs/selected_best.pt,444060a7981ec117bfa36562ee4a9e91ddf5f702a7f9442d961a2bea29c0ae88,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,ff5a16cd2ed5bbe6e8198e3d354f5c277758f9b923bbc40ea9798d3593a0a9d5,False,60,False,0.009882045909762383,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_SSVEP,OpenBMI,0,LiteBN_XS,2,220025,40,0.9433333333333334,0.9431761992239741,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_ssvep/fold0_litebn_xs/selected_best.pt,f3edfaed4112acb1c07c72637c0af4cc94408c487fe73e4c410478e4e64c9554,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,,False,51,True,6.575633500702679,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_SSVEP,OpenBMI,1,LiteBN_XS,2,220025,22,0.9366666666666665,0.9346580993332211,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_ssvep/fold1_litebn_xs/selected_best.pt,d3d11497dc05156ee99eed6e4f7691ed99a8d8bc95ec5e266b591d8e478945a4,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,,False,33,True,4.263677927665412,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_SSVEP,OpenBMI,2,LiteBN_XS,2,220025,55,0.8766666666666666,0.873634173113563,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_ssvep/fold2_litebn_xs/selected_best.pt,c6344908e13268f0f32d7375c988aec5dd18ddcf9d1406ec3aecd6c356345851,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,,False,60,False,0.011386732570827007,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_SSVEP,OpenBMI,3,LiteBN_XS,2,220025,14,0.8150000000000001,0.8140883966766714,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_ssvep/fold3_litebn_xs/selected_best.pt,f592c074965357d42a8152c2e0599158e2676c380a434659c4309eae719dfe04,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,,False,25,True,4.301649874076247,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
OpenBMI_SSVEP,OpenBMI,4,LiteBN_XS,2,220025,54,0.9216666666666667,0.9218328544379628,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed2/checkpoints/openbmi_ssvep/fold4_litebn_xs/selected_best.pt,e7b2af00a25578c64da10f734ffceaa3feed4f74315cf742fa4f95ce43f9e71c,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,,False,60,False,0.01059003733098507,fd2f9c2c2bf3b6e50ebc1dda8d53e4b8152ee40f20da963dc0b7685db3eae446
