task,seed,fold,LiteBN_BA,XS_BA,delta_pp,positive
OpenBMI_MI,0,0,0.82625,0.8525,2.625000000000001,True
OpenBMI_MI,0,1,0.8325,0.8525,1.9999999999999991,True
OpenBMI_MI,0,2,0.7275,0.71875,-0.8750000000000036,False
OpenBMI_MI,0,3,0.7875000000000001,0.75625,-3.125,False
OpenBMI_MI,0,4,0.78375,0.815,3.1249999999999987,True
OpenBMI_MI,1,0,0.8474999999999999,0.81375,-3.374999999999996,False
OpenBMI_MI,1,1,0.8275,0.79875,-2.8750000000000013,False
OpenBMI_MI,1,2,0.70375,0.6875,-1.6249999999999987,False
OpenBMI_MI,1,3,0.7725,0.75125,-2.1250000000000018,False
OpenBMI_MI,1,4,0.7649999999999999,0.7025,-6.25,False
OpenBMI_MI,2,0,0.8475,0.7949999999999999,-5.2500000000000036,False
OpenBMI_MI,2,1,0.81125,0.82375,1.2499999999999982,True
OpenBMI_MI,2,2,0.7012499999999999,0.7150000000000001,1.3749999999999984,True
OpenBMI_MI,2,3,0.7737499999999999,0.765,-0.8749999999999967,False
OpenBMI_MI,2,4,0.7849999999999999,0.7949999999999999,0.9999999999999996,True
OpenBMI_ERP,0,0,0.8046590909090908,0.8099242424242424,0.5265151515151569,True
OpenBMI_ERP,0,1,0.8907575757575759,0.895189393939394,0.4431818181818245,True
OpenBMI_ERP,0,2,0.765,0.7629545454545454,-0.2045454545454531,False
OpenBMI_ERP,0,3,0.8755681818181817,0.8676893939393939,-0.7878787878787887,False
OpenBMI_ERP,0,4,0.826780303030303,0.8229166666666667,-0.38636363636363885,False
OpenBMI_ERP,1,0,0.801590909090909,0.8174621212121213,1.587121212121212,True
OpenBMI_ERP,1,1,0.8988636363636364,0.8963636363636364,-0.2500000000000002,False
OpenBMI_ERP,1,2,0.7551136363636364,0.7750757575757575,1.9962121212121238,True
OpenBMI_ERP,1,3,0.8746969696969698,0.8954924242424243,2.0795454545454493,True
OpenBMI_ERP,1,4,0.8289015151515151,0.8275378787878789,-0.1363636363636303,False
OpenBMI_ERP,2,0,0.8175378787878788,0.8112121212121213,-0.6325757575757527,False
OpenBMI_ERP,2,1,0.8847348484848485,0.885719696969697,0.09848484848484773,True
OpenBMI_ERP,2,2,0.7617045454545455,0.7737121212121212,1.2007575757575786,True
OpenBMI_ERP,2,3,0.8826136363636363,0.8862121212121212,0.3598484848484837,True
OpenBMI_ERP,2,4,0.8280303030303031,0.813030303030303,-1.5000000000000013,False
OpenBMI_SSVEP,0,0,0.8487499999999999,0.9462499999999999,9.75,True
OpenBMI_SSVEP,0,1,0.91,0.935,2.4999999999999996,True
OpenBMI_SSVEP,0,2,0.8574999999999999,0.90625,4.874999999999996,True
OpenBMI_SSVEP,0,3,0.86625,0.89,2.375000000000002,True
OpenBMI_SSVEP,0,4,0.9775,0.98875,1.1250000000000009,True
OpenBMI_SSVEP,1,0,0.885,0.91125,2.6250000000000004,True
OpenBMI_SSVEP,1,1,0.91625,0.91625,0.0,False
OpenBMI_SSVEP,1,2,0.86625,0.85875,-0.7499999999999979,False
OpenBMI_SSVEP,1,3,0.8712500000000001,0.87625,0.49999999999999767,True
OpenBMI_SSVEP,1,4,0.985,0.98375,-0.1250000000000015,False
OpenBMI_SSVEP,2,0,0.935,0.9075,-2.7499999999999982,False
OpenBMI_SSVEP,2,1,0.93625,0.93875,0.24999999999999745,True
OpenBMI_SSVEP,2,2,0.8712499999999999,0.86625,-0.49999999999999767,False
OpenBMI_SSVEP,2,3,0.9012500000000001,0.855,-4.625000000000002,False
OpenBMI_SSVEP,2,4,0.9825,0.9775,-0.5000000000000004,False
WBCIC_MI,0,0,0.7792857142857142,0.7807142857142857,0.14285714285713982,True
WBCIC_MI,0,1,0.7733333333333333,0.8058333333333333,3.249999999999995,True
WBCIC_MI,0,2,0.7558333333333334,0.7541666666666668,-0.16666666666666868,False
WBCIC_MI,0,3,0.8405408249158249,0.8229966329966331,-1.754419191919195,False
WBCIC_MI,0,4,0.7875000000000001,0.7875000000000001,1.850371707708594e-15,True
WBCIC_MI,1,0,0.7792857142857142,0.7778571428571429,-0.142857142857143,False
WBCIC_MI,1,1,0.7808333333333333,0.7916666666666666,1.0833333333333286,True
WBCIC_MI,1,2,0.7508333333333334,0.7491666666666666,-0.1666666666666668,False
WBCIC_MI,1,3,0.8372337962962962,0.8378924663299664,0.06586700336700577,True
WBCIC_MI,1,4,0.7733333333333333,0.7991666666666667,2.5833333333333357,True
WBCIC_MI,2,0,0.7428571428571428,0.7821428571428571,3.928571428571427,True
WBCIC_MI,2,1,0.7975,0.8108333333333334,1.3333333333333288,True
WBCIC_MI,2,2,0.745,0.7616666666666667,1.666666666666668,True
WBCIC_MI,2,3,0.8339436026936026,0.8462678872053871,1.2324284511784542,True
WBCIC_MI,2,4,0.7616666666666666,0.7800000000000001,1.833333333333333,True
