task,seed,n_subjects,LiteBN_BA,XS_BA,delta_pp,LiteBN_macro_F1,XS_macro_F1,positive_folds
OpenBMI_MI,0,40,0.7915,0.799,0.749999999999999,0.7876279401445143,0.7946242792530841,3
OpenBMI_MI,1,40,0.78325,0.75075,-3.2499999999999996,0.7775128409224111,0.737660470658313,0
OpenBMI_MI,2,40,0.78375,0.7787499999999999,-0.5000000000000007,0.7754430908594687,0.772443948081777,3
OpenBMI_ERP,0,40,0.8325530303030304,0.8317348484848484,-0.08181818181817985,0.7849007785444034,0.7924378608500582,2
OpenBMI_ERP,1,40,0.8318333333333333,0.8423863636363637,1.0553030303030309,0.7842297556349649,0.800767732494634,3
OpenBMI_ERP,2,40,0.8349242424242422,0.8339772727272727,-0.09469696969696878,0.792683273335233,0.8005163740428618,3
OpenBMI_SSVEP,0,40,0.892,0.9332499999999999,4.124999999999999,0.888035442269619,0.9323425278470872,5
OpenBMI_SSVEP,1,40,0.9047499999999999,0.9092500000000001,0.44999999999999973,0.9008157717229734,0.9069938785870256,2
OpenBMI_SSVEP,2,40,0.9252500000000001,0.909,-1.625,0.9237067473304827,0.907396460830969,1
WBCIC_MI,0,31,0.7870401596611274,0.7899348321928968,0.2894672531769284,0.7820686835833355,0.7869972150768386,3
WBCIC_MI,1,31,0.7841420250896057,0.7907211225154775,0.657909742587162,0.7784906142185432,0.7885857143846864,3
WBCIC_MI,2,31,0.7751181166503747,0.7957292684913653,2.0611151840990547,0.7653980108267884,0.7936127423488893,5
