task,fold,LiteBN_inner_val_BA,LiteBN_XB_inner_val_BA,delta_pp,selected_epoch,parameter_count
OpenBMI_MI,0,0.725,0.7666666666666666,4.1666666666666625,58,219767
OpenBMI_MI,1,0.7999999999999999,0.805,0.5000000000000115,53,219767
OpenBMI_MI,2,0.7716666666666668,0.7983333333333333,2.6666666666666505,28,219767
OpenBMI_MI,3,0.7783333333333333,0.8233333333333333,4.499999999999993,60,219767
OpenBMI_MI,4,0.7433333333333333,0.7533333333333333,1.0000000000000009,47,219767
OpenBMI_ERP,0,0.8798484848484848,0.8676767676767677,-1.2171717171717056,15,219767
OpenBMI_ERP,1,0.8354545454545456,0.8283838383838383,-0.7070707070707227,10,219767
OpenBMI_ERP,2,0.8008585858585859,0.7955555555555556,-0.5303030303030365,16,219767
OpenBMI_ERP,3,0.8526262626262627,0.8454545454545453,-0.7171717171717384,14,219767
OpenBMI_ERP,4,0.8189898989898992,0.821010101010101,0.20202020202018112,43,219767
OpenBMI_SSVEP,0,0.9383333333333335,0.9533333333333335,1.5000000000000013,55,220025
OpenBMI_SSVEP,1,0.9033333333333333,0.9583333333333334,5.500000000000005,48,220025
OpenBMI_SSVEP,2,0.9133333333333332,0.94,2.6666666666666727,52,220025
OpenBMI_SSVEP,3,0.8649999999999999,0.8716666666666667,0.6666666666666821,36,220025
OpenBMI_SSVEP,4,0.8433333333333334,0.9466666666666667,10.333333333333329,60,220025
WBCIC_MI,0,0.687679292929293,0.7026376262626263,1.4958333333333296,52,219479
WBCIC_MI,1,0.8987196969696969,0.8907108585858585,-0.8008838383838368,16,219479
WBCIC_MI,2,0.8960000000000001,0.883,-1.3000000000000123,26,219479
WBCIC_MI,3,0.759,0.748,-1.100000000000001,22,219479
WBCIC_MI,4,0.766,0.77,0.40000000000000036,32,219479
