dataset,seed,method,selected_epoch,held_BA,Macro_F1,NLL
OpenBMI,0,B0_SUBJECT_BALANCED_ERM,13,72.42857142857143,71.35887368538808,0.535500419991357
OpenBMI,0,B1_PLAIN_MLDG,13,70.0,69.65463213517582,0.5583922863006592
OpenBMI,0,B2_TWO_TRAJECTORY_MEAN,30,76.99999999999999,76.44032729304874,0.46089608328683035
OpenBMI,0,B3_TSEG,30,76.99999999999999,76.411404563357,0.46935101066316876
OpenBMI,1,B0_SUBJECT_BALANCED_ERM,37,77.57142857142858,77.00847636636425,0.4756972725902285
OpenBMI,1,B1_PLAIN_MLDG,36,76.71428571428571,76.15479509529533,0.48035273807389395
OpenBMI,1,B2_TWO_TRAJECTORY_MEAN,36,78.0,77.58068996485143,0.4451324726854052
OpenBMI,1,B3_TSEG,31,77.57142857142857,77.0397551350909,0.4570841704096113
OpenBMI,2,B0_SUBJECT_BALANCED_ERM,33,77.85714285714286,77.27402685149615,0.4605798210416521
OpenBMI,2,B1_PLAIN_MLDG,15,71.57142857142857,71.11868955861468,0.5333841826234546
OpenBMI,2,B2_TWO_TRAJECTORY_MEAN,28,78.0,77.64747482762516,0.45501461199351717
OpenBMI,2,B3_TSEG,40,79.71428571428572,79.06775670213257,0.42214896636349813
WBCIC,0,B0_SUBJECT_BALANCED_ERM,31,74.70000000000002,74.66581775964414,0.4666836306452751
WBCIC,0,B1_PLAIN_MLDG,21,74.1,74.06086127634899,0.48280988037586214
WBCIC,0,B2_TWO_TRAJECTORY_MEAN,17,75.1,75.01444189204088,0.4862036362290382
WBCIC,0,B3_TSEG,18,75.10000000000001,74.99434469105168,0.47961021065711973
WBCIC,1,B0_SUBJECT_BALANCED_ERM,36,75.2,75.18452321476822,0.4783084265887737
WBCIC,1,B1_PLAIN_MLDG,20,72.7,72.66500928436842,0.4943485498428345
WBCIC,1,B2_TWO_TRAJECTORY_MEAN,35,74.1,74.07007918089587,0.6362155318260193
WBCIC,1,B3_TSEG,35,74.0,73.93316988750158,0.644060242176056
WBCIC,2,B0_SUBJECT_BALANCED_ERM,17,72.5,72.15969997347185,0.5729445695877076
WBCIC,2,B1_PLAIN_MLDG,14,74.8,74.50087253430124,0.4868681102991104
WBCIC,2,B2_TWO_TRAJECTORY_MEAN,24,76.0,75.96941539319457,0.46809472143650055
WBCIC,2,B3_TSEG,16,73.6,73.42109731663066,0.49396142065525056
