r1,r2,abs_r_diff,dtraj,source_loss,pseudo_subjects,partition_seed,dataset,outer_fold,opt_seed,method,phase,epoch
1.1436599493026733,1.0650122165679932,0.07864773273468018,0.02864713780581951,0.7952580451965332,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.8722610473632812,0.8113588690757751,0.060902178287506104,0.04070432484149933,0.7437741756439209,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7425061464309692,0.7415198087692261,0.000986337661743164,0.019678853452205658,0.7466700077056885,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7145106792449951,0.7337680459022522,0.01925736665725708,0.03246947377920151,0.7416343688964844,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7527257204055786,0.7930713891983032,0.04034566879272461,0.03426003083586693,0.7252758741378784,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.6894363164901733,0.7980985045433044,0.1086621880531311,0.04897734150290489,0.6664064526557922,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7915145754814148,0.7198933362960815,0.07162123918533325,0.021435149013996124,0.6401052474975586,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.6743304133415222,0.9041361808776855,0.22980576753616333,0.050406113266944885,0.7387583255767822,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7208754420280457,0.7753408551216125,0.054465413093566895,0.029645876958966255,0.7163040637969971,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
0.7460849285125732,0.899646520614624,0.15356159210205078,0.060985736548900604,0.694717526435852,4;8;11;27;29;35;38;39;43;49;52,3552084785656430714,OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1
