dataset,outer_fold,opt_seed,method,phase,epochs,wall_clock_sec,forward_count,backward_count,optimizer_steps
OpenBMI,0,0,B0_SUBJECT_BALANCED_ERM,selection,13,22.3187004000647,1449,1449,1449
OpenBMI,0,0,B1_PLAIN_MLDG,selection,13,20.732771400013007,1470,1470,735
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,30,91.08632090000901,7980,6650,1330
OpenBMI,0,0,B3_TSEG,selection,30,120.39706320001278,7980,9310,1330
OpenBMI,0,1,B0_SUBJECT_BALANCED_ERM,selection,37,45.23555799992755,3105,3105,3105
OpenBMI,0,1,B1_PLAIN_MLDG,selection,36,43.48293379996903,3080,3080,1540
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,selection,36,105.67270929994993,9240,7700,1540
OpenBMI,0,1,B3_TSEG,selection,31,123.77782789990306,8190,9555,1365
OpenBMI,0,2,B0_SUBJECT_BALANCED_ERM,selection,33,41.22816589998547,2829,2829,2829
OpenBMI,0,2,B1_PLAIN_MLDG,selection,15,22.74941339995712,1610,1610,805
OpenBMI,0,2,B2_TWO_TRAJECTORY_MEAN,selection,28,86.38616500003263,7560,6300,1260
OpenBMI,0,2,B3_TSEG,selection,40,152.3964668000117,10080,11760,1680
WBCIC,0,0,B0_SUBJECT_BALANCED_ERM,selection,31,52.8806004000362,3900,3900,3900
WBCIC,0,0,B1_PLAIN_MLDG,selection,21,37.73134379996918,2900,2900,1450
WBCIC,0,0,B2_TWO_TRAJECTORY_MEAN,selection,17,79.41886460001115,7500,6250,1250
WBCIC,0,0,B3_TSEG,selection,18,109.23823839996476,7800,9100,1300
WBCIC,0,1,B0_SUBJECT_BALANCED_ERM,selection,36,59.30349869991187,4400,4400,4400
WBCIC,0,1,B1_PLAIN_MLDG,selection,20,36.44771410000976,2800,2800,1400
WBCIC,0,1,B2_TWO_TRAJECTORY_MEAN,selection,35,136.74624270002823,12900,10750,2150
WBCIC,0,1,B3_TSEG,selection,35,180.7820487000281,12900,15050,2150
WBCIC,0,2,B0_SUBJECT_BALANCED_ERM,selection,17,33.72942669992335,2500,2500,2500
WBCIC,0,2,B1_PLAIN_MLDG,selection,14,28.639730000053532,2200,2200,1100
WBCIC,0,2,B2_TWO_TRAJECTORY_MEAN,selection,24,101.7084994999459,9600,8000,1600
WBCIC,0,2,B3_TSEG,selection,16,100.84811510005966,7200,8400,1200
OpenBMI,0,0,B0_SUBJECT_BALANCED_ERM,refit,13,15.646903399960138,1105,1105,1105
OpenBMI,0,0,B1_PLAIN_MLDG,refit,13,15.77943959995173,1144,1144,572
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,refit,30,83.34185010008514,7380,6150,1230
OpenBMI,0,0,B3_TSEG,refit,30,110.56841379997786,7380,8610,1230
OpenBMI,0,1,B0_SUBJECT_BALANCED_ERM,refit,37,44.58832280000206,3145,3145,3145
OpenBMI,0,1,B1_PLAIN_MLDG,refit,36,43.653327199979685,3168,3168,1584
OpenBMI,0,1,B2_TWO_TRAJECTORY_MEAN,refit,36,100.27212430001236,8856,7380,1476
OpenBMI,0,1,B3_TSEG,refit,31,114.39790019998327,7626,8897,1271
OpenBMI,0,2,B0_SUBJECT_BALANCED_ERM,refit,33,39.83346959995106,2805,2805,2805
OpenBMI,0,2,B1_PLAIN_MLDG,refit,15,18.23272630001884,1320,1320,660
OpenBMI,0,2,B2_TWO_TRAJECTORY_MEAN,refit,28,77.93729430006351,6888,5740,1148
OpenBMI,0,2,B3_TSEG,refit,40,147.5647186000133,9840,11480,1640
WBCIC,0,0,B0_SUBJECT_BALANCED_ERM,refit,31,48.89231290004682,3689,3689,3689
WBCIC,0,0,B1_PLAIN_MLDG,refit,21,33.87299080006778,2646,2646,1323
WBCIC,0,0,B2_TWO_TRAJECTORY_MEAN,refit,17,61.17394999996759,5814,4845,969
WBCIC,0,0,B3_TSEG,refit,18,85.79739860002883,6156,7182,1026
WBCIC,0,1,B0_SUBJECT_BALANCED_ERM,refit,36,56.80640040000435,4284,4284,4284
WBCIC,0,1,B1_PLAIN_MLDG,refit,20,32.289626399986446,2520,2520,1260
WBCIC,0,1,B2_TWO_TRAJECTORY_MEAN,refit,35,125.99589309992734,11970,9975,1995
WBCIC,0,1,B3_TSEG,refit,35,166.8645957999397,11970,13965,1995
WBCIC,0,2,B0_SUBJECT_BALANCED_ERM,refit,17,26.845241800067015,2023,2023,2023
WBCIC,0,2,B1_PLAIN_MLDG,refit,14,22.60892689996399,1764,1764,882
WBCIC,0,2,B2_TWO_TRAJECTORY_MEAN,refit,24,86.37060219992418,8208,6840,1368
WBCIC,0,2,B3_TSEG,refit,16,76.22427160001826,5472,6384,912
