dataset,method,mean_delta_BA_pp,median_delta_BA_pp,positive_seeds,minimum_delta_BA_pp,maximum_delta_BA_pp,catastrophic_cells
OpenBMI,B1_PLAIN_MLDG,-3.190476190476199,-2.4285714285714355,0,-6.2857142857142945,-0.8571428571428674,1
OpenBMI,B2_TWO_TRAJECTORY_MEAN,1.7142857142857089,0.4285714285714226,3,0.14285714285714457,4.57142857142856,0
OpenBMI,B3_TSEG,2.1428571428571352,1.8571428571428572,2,-1.1102230246251565e-14,4.57142857142856,0
WBCIC,B1_PLAIN_MLDG,-0.2666666666666706,-0.6000000000000227,1,-2.499999999999991,2.300000000000002,0
WBCIC,B2_TWO_TRAJECTORY_MEAN,0.9333333333333268,0.39999999999998925,2,-1.100000000000012,3.500000000000003,0
WBCIC,B3_TSEG,0.10000000000000009,0.40000000000000036,2,-1.200000000000001,1.100000000000001,0
