dataset,method,seed_i,seed_j,prediction_disagreement_rate,pairwise_JS,held_evaluation_after_all_training
OpenBMI,B0_SUBJECT_BALANCED_ERM,0,1,0.1028571428571428,0.0164920128881931,True
OpenBMI,B0_SUBJECT_BALANCED_ERM,0,2,0.1057142857142857,0.0178622063249349,True
OpenBMI,B0_SUBJECT_BALANCED_ERM,1,2,0.0685714285714285,0.0063003492541611,True
OpenBMI,B1_PLAIN_MLDG,0,1,0.1614285714285714,0.016516949981451,True
OpenBMI,B1_PLAIN_MLDG,0,2,0.1328571428571428,0.0063477093353867,True
OpenBMI,B1_PLAIN_MLDG,1,2,0.1371428571428571,0.0133930779993534,True
OpenBMI,B2_TWO_TRAJECTORY_MEAN,0,1,0.0957142857142857,0.0092612812295556,True
OpenBMI,B2_TWO_TRAJECTORY_MEAN,0,2,0.1014285714285714,0.0083910133689641,True
OpenBMI,B2_TWO_TRAJECTORY_MEAN,1,2,0.0714285714285714,0.0069884890690445,True
OpenBMI,B3_TSEG,0,1,0.1228571428571428,0.0109225623309612,True
OpenBMI,B3_TSEG,0,2,0.0785714285714285,0.0103759653866291,True
OpenBMI,B3_TSEG,1,2,0.1042857142857142,0.010827288031578,True
WBCIC,B0_SUBJECT_BALANCED_ERM,0,1,0.071,0.005402904469519854,True
WBCIC,B0_SUBJECT_BALANCED_ERM,0,2,0.112,0.04075085371732712,True
WBCIC,B0_SUBJECT_BALANCED_ERM,1,2,0.133,0.05169924348592758,True
WBCIC,B1_PLAIN_MLDG,0,1,0.076,0.0035539448726922274,True
WBCIC,B1_PLAIN_MLDG,0,2,0.095,0.0036094216629862785,True
WBCIC,B1_PLAIN_MLDG,1,2,0.115,0.0065198116935789585,True
WBCIC,B2_TWO_TRAJECTORY_MEAN,0,1,0.098,0.06555497646331787,True
WBCIC,B2_TWO_TRAJECTORY_MEAN,0,2,0.085,0.005798488389700651,True
WBCIC,B2_TWO_TRAJECTORY_MEAN,1,2,0.111,0.0655917152762413,True
WBCIC,B3_TSEG,0,1,0.123,0.0606408454477787,True
WBCIC,B3_TSEG,0,2,0.075,0.00517613859847188,True
WBCIC,B3_TSEG,1,2,0.118,0.06428781151771545,True
