dataset,outer_fold,opt_seed,phase,epoch,step,trajectory1_seed,trajectory2_seed,partition_seed,pair_hash,method
OpenBMI,0,0,selection,1,0,849396612401791082,8669917861389659278,3552084785656430714,d03bf694677182b28e8ff41893ca37fd19ffc27ac8da92839a83f5b8f4d9897d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,1,6500803707264226734,2980320693898253459,3552084785656430714,191c953860faccf5ae8b333a5e5d00b7953dd7d33b205f61490dfbbd603debd4,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,2,3665495158259574359,6794204204552520921,3552084785656430714,f916adef2db39d87f44504170d3ee312685c553d9d3e508f09f130df95935190,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,3,5227451777090027524,8769378812040767244,3552084785656430714,f7174400df484d866514f779147c895b10038c0f1c99ee3674b2e00b660833a0,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,4,1080224065671001297,2189290486843157691,3552084785656430714,0ba1c0e8786308f89740df9973568b6a72d9c3c91c6c504f6258bb1a21ba92d3,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,5,1217131810721584262,3132557962024156176,3552084785656430714,328a986f31dc57cdd97829bd6dc4cc03c85c55cafcef3c4807bd39057ac21b9d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,6,2274872338470900846,7356972593827539108,3552084785656430714,9aa22ed0995bfcd54de27e53eff827a8d400a5b81e1fc6f7de8db1996490461e,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,7,1790834309409974703,3208114512154059979,3552084785656430714,755545a6602883cbed515d44db08f9a64397e4a9f2a7136f4d039601420faa68,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,8,1845596485140942723,7687779696231517945,3552084785656430714,4c0aea1658de2e468229e4ee2618cff521f011831ecf7902121560d06e1ada3d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,9,3273012972628568190,66608573975918249,3552084785656430714,6e68a1e705a31acffaba208765fa97e7c1ede0a10db9501a9d178fb208136bec,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,10,3930980681920720606,3146352997745201040,3552084785656430714,91242a87a7732aacecfba068d306cf8ac937b410197cd7cb35f745721da1ded3,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,11,1626149390924324941,4685722663156807359,3552084785656430714,684564a3ddd16bb14beffb0631c14fdbbb0737b586d04baadee5cd083051cb8d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,12,3537009074057335957,37774218060597325,3552084785656430714,541bb2b48f81d451e93087c4cd0f2a26dc1af80136d6cf17207a80cc3fe2e216,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,13,6340702975643556833,4705138336606323108,3552084785656430714,a33b36cd3028e1554fe7e55ca728e5ad682e6a4282c71850941fb6787d526787,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,14,9014295541818574282,5565124550875062859,3552084785656430714,520d6fc089d6c04fc78cd123863f118251aab0358a5266ae32f84bab989527eb,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,15,3846484697750910942,8537101880734450182,3552084785656430714,96f8c8ca5739dda7813a1bbf65fca1d3510efb28c64d44b01c9278529feddeef,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,16,4348235021622713814,8915225288624857189,3552084785656430714,67b6bdf43bc9323fb41805cbe6237e1456dfc5ef40b5c8b9995e2e719a79ceb5,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,17,6084110869223123155,8151545614252309955,3552084785656430714,9a01d58ee5e90f5c90f72d6571f0185325896174f0ccabd6978323862692f988,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,18,6555226448608469443,4190575088355534863,3552084785656430714,e9998c3d6d48f956ae5d13e78cf076e29a267dfcd0405fd68d087ec75f032011,B2_TWO_TRAJECTORY_MEAN
