dataset,method,mean_BA,median_BA,seed_SD,seed_range
OpenBMI,B0_SUBJECT_BALANCED_ERM,75.95238095238095,77.57142857142858,3.0550504633038966,5.428571428571431
OpenBMI,B1_PLAIN_MLDG,72.76190476190476,71.57142857142857,3.511884584284243,6.714285714285708
OpenBMI,B2_TWO_TRAJECTORY_MEAN,77.66666666666667,78.0,0.577350269189634,1.0000000000000142
OpenBMI,B3_TSEG,78.09523809523809,77.57142857142857,1.4309504001254123,2.7142857142857366
WBCIC,B0_SUBJECT_BALANCED_ERM,74.13333333333334,74.70000000000002,1.4364307617610206,2.700000000000003
WBCIC,B1_PLAIN_MLDG,73.86666666666667,74.1,1.0692676621563593,2.0999999999999943
WBCIC,B2_TWO_TRAJECTORY_MEAN,75.06666666666666,75.1,0.9504384952922197,1.9000000000000057
WBCIC,B3_TSEG,74.23333333333333,74.0,0.77674534651541,1.5000000000000142
