task,architecture,n_subjects,mean_delta_pp,median_delta_pp,positive_subjects,negative_subjects,positive_folds,fold_deltas_pp
OpenBMI_ERP,LiteBN_RG,40,0.6530303030303031,0.28787878787878696,22,18,5,"{""0"": 0.6893939393939423, ""1"": 0.6818181818181807, ""2"": 0.3295454545454532, ""3"": 1.3143939393939417, ""4"": 0.2499999999999975}"
OpenBMI_ERP,LiteBN_XS,40,-0.08181818181818126,0.22727272727272596,23,17,2,"{""0"": 0.5265151515151542, ""1"": 0.44318181818182173, ""2"": -0.2045454545454531, ""3"": -0.7878787878787902, ""4"": -0.38636363636363896}"
