task,comparison,n_subjects,bootstrap_seed,resamples,mean_delta_pp,ci_low_pp,ci_high_pp,positive_subjects,harmed_subjects,tied_subjects
OpenBMI_MI,LiteBN_X-LiteBN_BASELINE,40,0,10000,0.8250000000000022,-0.8749999999999977,2.5500000000000016,20,19,1
OpenBMI_ERP,LiteBN_X-LiteBN_BASELINE,40,0,10000,0.24318181818181853,-0.5947159090909103,1.1038068181818188,22,18,0
OpenBMI_SSVEP,LiteBN_X-LiteBN_BASELINE,40,0,10000,2.1250000000000004,0.17500000000000102,4.225,22,6,12
WBCIC_MI,LiteBN_X-LiteBN_BASELINE,31,0,10000,-0.6604553600521331,-2.225806451612902,0.9354838709677434,12,17,2
