task,architecture,n_subjects,mean_delta_pp,median_delta_pp,positive_subjects,negative_subjects,positive_folds,fold_deltas_pp
OpenBMI_MI,LiteBN_RG,40,-0.85,-0.9999999999999953,13,22,1,"{""0"": 0.6250000000000004, ""1"": -2.4999999999999996, ""2"": -1.6250000000000027, ""3"": -0.1250000000000001, ""4"": -0.6249999999999978}"
OpenBMI_MI,LiteBN_XS,40,0.7499999999999994,1.0000000000000009,23,13,3,"{""0"": 2.625000000000001, ""1"": 1.9999999999999991, ""2"": -0.8750000000000036, ""3"": -3.125, ""4"": 3.1250000000000013}"
WBCIC_MI,LiteBN_RG,31,-0.530588139459108,-1.0000000000000009,13,18,3,"{""0"": 0.21428571428571136, ""1"": 1.2499999999999976, ""2"": 0.5000000000000023, ""3"": -2.741372053872054, ""4"": -2.0}"
WBCIC_MI,LiteBN_XS,31,0.28946725317692906,0.47348484848485084,16,15,3,"{""0"": 0.14285714285713993, ""1"": 3.249999999999995, ""2"": -0.16666666666666682, ""3"": -1.7544191919191932, ""4"": 1.8503717077085944e-15}"
