task,dataset,fold,architecture,seed,parameter_count,selected_epoch,best_inner_val_BA,best_inner_val_macro_F1,checkpoint_path,checkpoint_sha256,normalizer_sha256,batch_manifest_sha256,class_weighted_ce,source_sha256,recovered,initial_sha256,elapsed_seconds_this_invocation,epochs_completed
OpenBMI_MI,OpenBMI,0,LiteBN_BASELINE,0,47978,53,0.7050000000000001,0.7026016212203109,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_baseline/selected_best.pt,aa920b25880374b8f4d427c289643f66d918f64d8042935b5b1b45dfa463c9a1,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,0,LiteBN_R,0,104269,54,0.715,0.712212357533791,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_r/selected_best.pt,2fe76b55ff290e5f41857a32baa22422a5e8643a0fa54bee1d78ab67dd6c8137,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,0,LiteBN_RG,0,105521,42,0.7316666666666668,0.7296121935389221,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_rg/selected_best.pt,843fe68a5d012d109f81913193332afbabe3c37c2b1f01d3822eeee49e2cc8e3,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,0,LiteBN_X,0,219733,47,0.7616666666666667,0.7595229095612529,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_x/selected_best.pt,873da01bd0c645448a22a5fa86b02461191f6a64ebeef75da29153a9c61b1f02,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,0,LiteBN_XS,0,219767,58,0.7683333333333332,0.762797166503404,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_xs/selected_best.pt,5211f4faca2be10f67b149e8e3186e19962eaa3687f69b2ac02c9c0fc81e6857,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,1,LiteBN_BASELINE,0,47978,60,0.8066666666666666,0.8040315721094066,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_baseline/selected_best.pt,48b6fd0269c1110c2df7cac80f1f04eab4df5758ac12f6084765fb6fbdb0d573,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,1,LiteBN_R,0,104269,47,0.8016666666666666,0.7999915811951676,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_r/selected_best.pt,f5187ab0d9209e69852c2d97daf893c3bcd48f0fec3074f6513aa37f4efd8e85,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,1,LiteBN_RG,0,105521,44,0.8116666666666666,0.8107327061493992,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_rg/selected_best.pt,a15a016468265fdf5b38fe0cba7d7aee6649f2840516f1e4260fb88a62e06e83,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,1,LiteBN_X,0,219733,60,0.8133333333333334,0.8098088561982579,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_x/selected_best.pt,3496216902f54b4337a77973bbe697456d86cddd67bb913b6e5a90224ec866cb,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
OpenBMI_MI,OpenBMI,1,LiteBN_XS,0,219767,53,0.8099999999999999,0.8062744155005457,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_xs/selected_best.pt,ecbadf46786c166497f0d1c790cb0597dc7e9146465e97b797f34142401f968c,recovered_from_existing_stage_a_checkpoint,,False,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,True,,,
