task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,1,2,LiteBN_BASELINE,0.9766666666666667,0.9447705618082642,0.9671717171717171,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,2,LiteBN_X,0.9754545454545455,0.9416241409942354,0.9651515151515152,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,26,LiteBN_BASELINE,0.9412121212121212,0.8992510981613617,0.9383838383838384,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,26,LiteBN_X,0.9445454545454546,0.8811767861933292,0.9237373737373737,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,28,LiteBN_BASELINE,0.9187878787878788,0.8680609279617217,0.9171717171717172,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,28,LiteBN_X,0.9257575757575758,0.8617553512307939,0.9106060606060606,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,31,LiteBN_BASELINE,0.9272727272727272,0.8722786647314948,0.9191919191919192,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,31,LiteBN_X,0.916060606060606,0.8480974799354007,0.9005050505050505,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,35,LiteBN_BASELINE,0.87,0.8230706807521133,0.8883838383838384,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,35,LiteBN_X,0.8721212121212121,0.8411239739784551,0.9040404040404041,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,40,LiteBN_BASELINE,0.7966666666666666,0.7543442937847247,0.842929292929293,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,40,LiteBN_X,0.826060606060606,0.780202052469752,0.8595959595959596,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,43,LiteBN_BASELINE,0.936060606060606,0.8698073648256244,0.9156565656565656,1980,d3fe53de2dd98ce38952d6944d559e093ad46ac345a4dc763f4aeecdd137fc22,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,43,LiteBN_X,0.9330303030303031,0.8495781361794479,0.8984848484848484,1980,11753c8d96656f728acfed0316ef5bf3567e9908006c285bc570352eece82657,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,2,1,LiteBN_BASELINE,0.7560606060606061,0.7329853687677996,0.8378787878787879,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,1,LiteBN_X,0.7645454545454546,0.7436103182518121,0.8459595959595959,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,11,LiteBN_BASELINE,0.9687878787878788,0.9364112568775401,0.9621212121212122,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,11,LiteBN_X,0.9684848484848485,0.9478232455346711,0.9696969696969697,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,23,LiteBN_BASELINE,0.5533333333333333,0.5590526203724424,0.7929292929292929,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,23,LiteBN_X,0.5442424242424242,0.5483191583002864,0.8,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,30,LiteBN_BASELINE,0.9393939393939394,0.9030020051657937,0.9414141414141414,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,30,LiteBN_X,0.9172727272727272,0.8695756236767007,0.9186868686868687,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,48,LiteBN_BASELINE,0.8078787878787879,0.7853396526644312,0.8717171717171717,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,48,LiteBN_X,0.7887878787878788,0.7822514508714655,0.8762626262626263,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,50,LiteBN_BASELINE,0.5118181818181818,0.5117733521630112,0.7277777777777777,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,50,LiteBN_X,0.5257575757575758,0.5267500585417363,0.751010101010101,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,52,LiteBN_BASELINE,0.8178787878787879,0.819814992320218,0.9005050505050505,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,52,LiteBN_X,0.81,0.8044444444444445,0.8893939393939394,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,8,LiteBN_BASELINE,0.7648484848484849,0.7585365853658537,0.8626262626262626,1980,3fe001253eab8f62281fa809e5f2bbae23c980eab7f1b1ed09acbba70c193222,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
OpenBMI_ERP,OpenBMI,2,8,LiteBN_X,0.7381818181818182,0.7347497393117831,0.8505050505050505,1980,b5478f2be6b9572a90c931551d9546bd3df49c7022f31e4881d5a68fa79786ac,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a
