task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,posthoc_exploratory
OpenBMI_SSVEP,OpenBMI,0,0,15,LiteBN_BASELINE,0.35,0.29097744360902256,0.35,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,15,LiteBN_XS,0.96,0.9598876081946226,0.96,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,3,LiteBN_BASELINE,1.0,1.0,1.0,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,3,LiteBN_XS,1.0,1.0,1.0,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,32,LiteBN_BASELINE,0.74,0.6974592074592075,0.74,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,32,LiteBN_XS,0.8200000000000001,0.8143943078721061,0.82,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,33,LiteBN_BASELINE,0.96,0.9604219938566443,0.96,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,33,LiteBN_XS,0.98,0.9799679487179488,0.98,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,38,LiteBN_BASELINE,0.97,0.9699959983993598,0.97,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,38,LiteBN_XS,0.96,0.9601920768307324,0.96,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,47,LiteBN_BASELINE,0.97,0.9703303491207804,0.97,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,47,LiteBN_XS,0.96,0.9604219938566443,0.96,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,5,LiteBN_BASELINE,0.81,0.8189110626932614,0.81,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,5,LiteBN_XS,0.9,0.8994749414917482,0.9,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,6,LiteBN_BASELINE,0.99,0.9899959983993598,0.99,100,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,0,0,6,LiteBN_XS,0.99,0.9899959983993597,0.99,100,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,True
OpenBMI_SSVEP,OpenBMI,1,0,14,LiteBN_BASELINE,0.78,0.7792895622337516,0.78,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,14,LiteBN_XS,0.79,0.7913633680897109,0.79,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,2,LiteBN_BASELINE,0.9299999999999999,0.9266328636666504,0.93,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,2,LiteBN_XS,0.96,0.9599754901960784,0.96,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,26,LiteBN_BASELINE,0.99,0.9899959983993598,0.99,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,26,LiteBN_XS,1.0,1.0,1.0,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,28,LiteBN_BASELINE,0.96,0.959891609795263,0.96,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,28,LiteBN_XS,0.99,0.9899959983993598,0.99,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,31,LiteBN_BASELINE,1.0,1.0,1.0,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,31,LiteBN_XS,1.0,1.0,1.0,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,35,LiteBN_BASELINE,0.64,0.6367717958079404,0.64,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,35,LiteBN_XS,0.87,0.8727302863492685,0.87,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,40,LiteBN_BASELINE,0.98,0.9799679487179488,0.98,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,40,LiteBN_XS,0.87,0.8683532437365189,0.87,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,43,LiteBN_BASELINE,1.0,1.0,1.0,100,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,1,0,43,LiteBN_XS,1.0,1.0,1.0,100,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,True
OpenBMI_SSVEP,OpenBMI,2,0,1,LiteBN_BASELINE,0.8500000000000001,0.8484074643638729,0.85,100,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,1,LiteBN_XS,0.8799999999999999,0.8781611263550898,0.88,100,1f17098aa7e1e423b70bdc69bab70c37a874ba59f73b007b30c8564ed051a09b,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,11,LiteBN_BASELINE,1.0,1.0,1.0,100,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,11,LiteBN_XS,1.0,1.0,1.0,100,1f17098aa7e1e423b70bdc69bab70c37a874ba59f73b007b30c8564ed051a09b,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,23,LiteBN_BASELINE,0.43000000000000005,0.39938695499061655,0.43,100,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,23,LiteBN_XS,0.6499999999999999,0.6437632430021188,0.65,100,1f17098aa7e1e423b70bdc69bab70c37a874ba59f73b007b30c8564ed051a09b,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
OpenBMI_SSVEP,OpenBMI,2,0,30,LiteBN_BASELINE,0.8200000000000001,0.8213824289405686,0.82,100,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,True
