epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7634624017957351,0.7511111111111111,0.6320538720538721,0.9072222222222223,0.405993292177165,3.496266965512876,3.902260246100249,1.0709300769699945,0.0,0.0,0.0,0.0,19,0.7394709474871302,1.0,9.20408296585083
1,0.7648821548821548,0.7555555555555555,0.6363131313131313,0.9027777777777779,0.3982152916766979,3.3841483857896595,3.782363670843619,1.0950818183245483,0.0,0.0,0.0,0.0,19,0.7394709474871302,1.0,16.776466846466064
2,0.7651402918069584,0.7533333333333334,0.6343097643097643,0.9077777777777778,0.40097540506610163,3.2709858770723694,3.6719612810346813,1.1677183873123593,0.025,0.015,0.025,0.034999999999999996,19,0.7394709474871302,1.0,24.339688777923584
3,0.7669753086419754,0.7505555555555556,0.6387037037037038,0.9116666666666666,0.40047293018411706,3.2016883073029696,3.6021612176188715,1.170367349077154,0.05,0.03,0.05,0.06999999999999999,19,0.7394709474871302,1.0,31.859145164489746
4,0.76672278338945,0.745,0.6412794612794612,0.9138888888888889,0.3997883752540306,3.209160676708928,3.6089490475477994,1.1757551873171772,0.07500000000000001,0.045000000000000005,0.07500000000000001,0.10500000000000001,19,0.7476550116779346,0.6913691494387268,41.45758128166199
5,0.7689674523007857,0.75,0.6469023569023569,0.91,0.40115404901681123,3.2853551131707652,3.6865091544610484,1.266980430594197,0.1,0.06,0.1,0.13999999999999999,19,0.7476550116779346,0.6913691494387268,48.958887815475464
6,0.765959595959596,0.7544444444444445,0.6378787878787879,0.9055555555555556,0.3981240182011216,3.301030437151591,3.6991544476261846,1.2913171693130776,0.1,0.06,0.1,0.13999999999999999,19,0.7476550116779346,0.6913691494387268,56.60483527183533
7,0.7650056116722784,0.741111111111111,0.6439057239057239,0.91,0.3982859237326516,3.3187176607273243,3.7170035618322865,1.3671875838880185,0.1,0.06,0.1,0.13999999999999999,19,0.7476550116779346,0.6913691494387268,64.06937742233276
8,0.7651346801346802,0.7555555555555555,0.6381818181818182,0.9016666666666667,0.39500196609232163,3.439688461798209,3.8346904118855796,1.1804963847001393,0.1,0.06,0.1,0.13999999999999999,19,0.8461568247411103,0.49439589591524735,73.81228971481323
9,0.766408529741863,0.7477777777777779,0.6408922558922558,0.9105555555555555,0.4002653514897382,3.39363925103788,3.793904591489721,1.2318877070038408,0.1,0.06,0.1,0.13999999999999999,19,0.8461568247411103,0.49439589591524735,81.41285037994385
10,0.7650617283950618,0.7466666666666667,0.642962962962963,0.9055555555555557,0.3967354027209459,3.3904018667009144,3.787137265558596,1.2771988411744435,0.1,0.06,0.1,0.13999999999999999,19,0.8461568247411103,0.49439589591524735,89.07263493537903
