task,fold,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp
OpenBMI_ERP,0,0.8046590909090909,0.8027651515151515,-0.18939393939393784,0.7451189813836245,0.7520505974912273,0.6931616107602762,0.8256944444444444,0.8354166666666667,0.9722222222222257
OpenBMI_ERP,1,0.8907575757575757,0.8878787878787878,-0.28787878787878834,0.8444899022334114,0.8518678445024632,0.7377942269051807,0.9017676767676768,0.9090909090909091,0.7323232323232315
OpenBMI_ERP,2,0.765,0.7640530303030303,-0.09469696969697378,0.7508644792121363,0.7518125285290609,0.09480493169246734,0.8621212121212121,0.8643308080808081,0.2209595959595967
OpenBMI_ERP,3,0.8755681818181819,0.8753787878787879,-0.018939393939393367,0.815055352175992,0.8234008732253058,0.834552104931384,0.8777146464646465,0.8859848484848485,0.8270202020202024
OpenBMI_ERP,4,0.826780303030303,0.8277651515151515,0.09848484848484773,0.7689751777168532,0.7784196435184878,0.9444465801634563,0.8484217171717172,0.8583964646464647,0.9974747474747497
OpenBMI_MI,0,0.8262499999999999,0.80875,-1.7499999999999987,0.8239583329302677,0.8032903896498598,-2.0667943280407925,0.82625,0.80875,-1.7500000000000016
OpenBMI_MI,1,0.8325,0.835,0.24999999999999883,0.8303223777063317,0.833070206223039,0.2747828516707296,0.8325,0.835,0.24999999999999883
OpenBMI_MI,2,0.7275,0.725,-0.250000000000003,0.7222554584824781,0.7166039575262696,-0.5651500956208491,0.7275,0.725,-0.250000000000003
OpenBMI_MI,3,0.7875,0.78375,-0.37499999999999895,0.7851528645934953,0.781434160017496,-0.37187045759993903,0.7875,0.78375,-0.37500000000000033
OpenBMI_MI,4,0.78375,0.7875,0.37500000000000033,0.7764506670099987,0.7799021634821082,0.3451496472109475,0.78375,0.7875,0.37500000000000033
OpenBMI_SSVEP,0,0.84875,0.85,0.1250000000000015,0.8372615066922044,0.8384836601023795,0.12221534101750364,0.84875,0.85,0.12499999999999872
OpenBMI_SSVEP,1,0.91,0.9025,-0.7500000000000007,0.9090687223276143,0.9010175808099995,-0.8051141517614726,0.91,0.9025,-0.7500000000000007
OpenBMI_SSVEP,2,0.8575,0.865,0.7499999999999964,0.8527857576436082,0.8577977351615607,0.5011977517952342,0.8574999999999999,0.865,0.7500000000000007
OpenBMI_SSVEP,3,0.86625,0.86125,-0.5000000000000004,0.863601790863596,0.8567244641325054,-0.687732673109067,0.86625,0.86125,-0.5000000000000004
OpenBMI_SSVEP,4,0.9775,0.9775,0.0,0.9774594338210711,0.9774594338210711,0.0,0.9775,0.9775,0.0
WBCIC_MI,0,0.7792857142857142,0.5,-27.928571428571434,0.7776895502867539,0.3333333333333333,-44.43562169534207,0.7792857142857142,0.5,-27.928571428571434
WBCIC_MI,1,0.7733333333333334,0.7741666666666666,0.0833333333333297,0.7532636467401564,0.7578009581271132,0.45373113869568443,0.7733333333333334,0.7741666666666666,0.08333333333333155
WBCIC_MI,2,0.7558333333333334,0.7508333333333334,-0.5000000000000003,0.7545843026841036,0.7487561297852036,-0.5828172898900086,0.7558333333333334,0.7508333333333334,-0.4999999999999986
WBCIC_MI,3,0.8405408249158249,0.7469970538720538,-9.354377104377106,0.8399306310758425,0.7424654971736976,-9.74651339021449,0.840491452991453,0.7471581196581196,-9.333333333333332
WBCIC_MI,4,0.7875,0.7825000000000001,-0.5000000000000004,0.7856051426792515,0.7794835400774999,-0.6121602601751838,0.7875,0.7825000000000001,-0.4999999999999986
