task,fold,status,parameters_bitwise_identical,max_abs_parameter_diff,non_BN_buffers_identical,parameter_hash_before,parameter_hash_after,non_BN_buffer_hash_before,non_BN_buffer_hash_after,calibration_trials,calibration_batches,dropout_disabled
OpenBMI_MI,0,PASS,True,0.0,True,8d4e36996ea6a4ae8c5411a82320f7ab75f3845c86a7218caf99014979215feb,8d4e36996ea6a4ae8c5411a82320f7ab75f3845c86a7218caf99014979215feb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_MI,1,PASS,True,0.0,True,b2286a2d3cb6335eb500d95ea0106ce5fae7bf9b6436cd773cd78744c993beb4,b2286a2d3cb6335eb500d95ea0106ce5fae7bf9b6436cd773cd78744c993beb4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_MI,2,PASS,True,0.0,True,6dbf33de4d71e4f9f45a4f8806e7d17678e509f0fc67667817027d15dcde82d3,6dbf33de4d71e4f9f45a4f8806e7d17678e509f0fc67667817027d15dcde82d3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_MI,3,PASS,True,0.0,True,63421958190b2ebbe110086d273361e90e7cd6eae359a03943c53ec78276b6e9,63421958190b2ebbe110086d273361e90e7cd6eae359a03943c53ec78276b6e9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_MI,4,PASS,True,0.0,True,90e0df70b82fefebdccd2c2ed46da8209c4c6f8d300084856e6d6ed11ad72fc1,90e0df70b82fefebdccd2c2ed46da8209c4c6f8d300084856e6d6ed11ad72fc1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_ERP,0,PASS,True,0.0,True,51462c031a05f201f6828553d31fde773196598443e9e7e04bc14119bb22f6ce,51462c031a05f201f6828553d31fde773196598443e9e7e04bc14119bb22f6ce,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,51480,403,True
OpenBMI_ERP,1,PASS,True,0.0,True,ccb8c1daeac7df26cf9f673bdd781c02dae612b1c9c42f78fafbc5b7fe9b8067,ccb8c1daeac7df26cf9f673bdd781c02dae612b1c9c42f78fafbc5b7fe9b8067,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,51480,403,True
OpenBMI_ERP,2,PASS,True,0.0,True,17bc8c9ab0145be68c26edafa0c3184f442fd405a6ba6bb452f1c1ace27edf58,17bc8c9ab0145be68c26edafa0c3184f442fd405a6ba6bb452f1c1ace27edf58,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,51480,403,True
OpenBMI_ERP,3,PASS,True,0.0,True,a82a7b2254ae6ab74c322d5a01b1b21750c1b36c67ec3968173354d469f70c3c,a82a7b2254ae6ab74c322d5a01b1b21750c1b36c67ec3968173354d469f70c3c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,51480,403,True
OpenBMI_ERP,4,PASS,True,0.0,True,603749c56ef361fc9ea75a2fd6897171e52e5adf0bb699966c347e2452512098,603749c56ef361fc9ea75a2fd6897171e52e5adf0bb699966c347e2452512098,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,51480,403,True
OpenBMI_SSVEP,0,PASS,True,0.0,True,8b8e6ea3935f2cfd9d0349f34f880bb74d31cb8c23d094eb71b3e2b92605e7cb,8b8e6ea3935f2cfd9d0349f34f880bb74d31cb8c23d094eb71b3e2b92605e7cb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_SSVEP,1,PASS,True,0.0,True,1603e7f40b69b10c41889fd9e022a03b4b9eaff3398fce443d9c635aac80eb21,1603e7f40b69b10c41889fd9e022a03b4b9eaff3398fce443d9c635aac80eb21,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_SSVEP,2,PASS,True,0.0,True,897183b82efd5d8004fdb52d0f2af4d6f3a378c5c59ba3fd11318444083cacd0,897183b82efd5d8004fdb52d0f2af4d6f3a378c5c59ba3fd11318444083cacd0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_SSVEP,3,PASS,True,0.0,True,e1f73903c37f64155bd56971fdb34f5a675114d80be3305a78a070da3187e06d,e1f73903c37f64155bd56971fdb34f5a675114d80be3305a78a070da3187e06d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
OpenBMI_SSVEP,4,PASS,True,0.0,True,80d092c9ddb3b984d94bbb3252363c6fd1b0626d538127c65658d9c920cca330,80d092c9ddb3b984d94bbb3252363c6fd1b0626d538127c65658d9c920cca330,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2600,21,True
