task,fold,checkpoint_sha256,status,error
OpenBMI_MI,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,STRICT_STATE_LOAD_PASS,
OpenBMI_MI,1,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,STRICT_STATE_LOAD_PASS,
OpenBMI_MI,2,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,STRICT_STATE_LOAD_PASS,
OpenBMI_MI,3,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,STRICT_STATE_LOAD_PASS,
OpenBMI_MI,4,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,STRICT_STATE_LOAD_PASS,
WBCIC_MI,0,7fe7b939e760fcc91ed6b8035a9f611f8f2839a442b36810a75ca6ff89c3b267,STRICT_STATE_LOAD_PASS,
WBCIC_MI,1,838161c589c8ba47b6ac391b90d97ce785fc98b277f84d3d22730e126122838f,STRICT_STATE_LOAD_PASS,
WBCIC_MI,2,8cb100fba157c5220ae7a9313f7665d683cd96cb315fefd0ce8e3314fc73eb01,STRICT_STATE_LOAD_PASS,
WBCIC_MI,3,9d4e6a2babb8d1b0febca64f5944319c3612f2c442c3580084d43f33c600f614,STRICT_STATE_LOAD_PASS,
WBCIC_MI,4,e9cce7a3ca4470c9727670a3135261acc7fa07a811d48ba5a7b74c44442b0807,STRICT_STATE_LOAD_PASS,
