task,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp,positive_subjects,negative_subjects,tied_subjects,paired_bootstrap_95CI_low_pp,paired_bootstrap_95CI_high_pp,bootstrap_unit,bootstrap_seed,bootstrap_resamples
OpenBMI_MI,0.7448571428571429,0.7448571428571428,5.551115123125783e-16,0.7371565373269793,0.7354973790038887,-0.16591583230906481,0.7448571428571429,0.7448571428571427,-3.3306690738754696e-16,6,7,1,-0.47142857142857125,0.5142857142857153,subject after five seed0 checkpoint metric mean,0,10000
OpenBMI_ERP,0.8465454545454545,0.8456233766233767,-0.09220779220779272,0.8040400000928571,0.810840018794781,0.6800018701923941,0.8736219336219337,0.8811183261183261,0.7496392496392497,7,7,0,-0.3467532467532473,0.11818181818181825,subject after five seed0 checkpoint metric mean,0,10000
OpenBMI_SSVEP,0.9069999999999999,0.9075714285714286,0.05714285714285688,0.9058052181881715,0.9065238158753178,0.07185976871465208,0.9069999999999999,0.9075714285714286,0.05714285714285688,7,4,3,-0.20000000000000018,0.3428571428571425,subject after five seed0 checkpoint metric mean,0,10000
WBCIC_MI,0.7922,0.7290000000000001,-6.3199999999999985,0.7871363836732524,0.687816960536818,-9.931942313643464,0.7921999999999999,0.7290000000000001,-6.319999999999999,1,9,0,-8.299999999999997,-4.129999999999999,subject after five seed0 checkpoint metric mean,0,10000
