task,fold,seed,population,subject_id,trials,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp
OpenBMI_MI,0,0,outer,15,100,0.87,0.89,2.0000000000000018,0.8698828946051447,0.8899889988998899,2.010610429474524,0.87,0.89,2.0000000000000018
OpenBMI_MI,0,0,outer,38,100,0.77,0.69,-8.000000000000007,0.757153415690001,0.6570417081535569,-10.011170753644416,0.77,0.69,-8.000000000000007
OpenBMI_MI,0,0,outer,6,100,0.9099999999999999,0.9099999999999999,0.0,0.9099189270343309,0.9099189270343309,0.0,0.91,0.91,0.0
OpenBMI_MI,0,0,outer,33,100,0.88,0.8500000000000001,-2.9999999999999916,0.8799519807923168,0.849624060150376,-3.0327920641940898,0.88,0.85,-3.0000000000000027
OpenBMI_MI,0,0,outer,32,100,0.7,0.71,1.0000000000000009,0.6998799519807923,0.7092731829573935,0.9393230976601163,0.7,0.71,1.0000000000000009
OpenBMI_MI,0,0,outer,3,100,0.87,0.87,0.0,0.8699869986998701,0.8699869986998701,0.0,0.87,0.87,0.0
OpenBMI_MI,0,0,outer,5,100,0.75,0.72,-3.0000000000000027,0.7469379491851402,0.7144022847817217,-3.2535664403418485,0.75,0.72,-3.0000000000000027
OpenBMI_MI,0,0,outer,47,100,0.86,0.8300000000000001,-2.9999999999999916,0.8579545454545454,0.8260869565217391,-3.186758893280628,0.86,0.83,-3.0000000000000027
OpenBMI_MI,0,0,heldout,4,100,0.8,0.81,1.0000000000000009,0.797077922077922,0.8067338012409724,0.9655879163050329,0.8,0.81,1.0000000000000009
OpenBMI_MI,0,0,heldout,12,100,0.7,0.73,3.0000000000000027,0.6875,0.7237851662404092,3.628516624040923,0.7,0.73,3.0000000000000027
OpenBMI_MI,0,0,heldout,13,100,0.6799999999999999,0.73,5.000000000000004,0.6794871794871795,0.72997299729973,5.048581781255046,0.68,0.73,4.999999999999993
OpenBMI_MI,0,0,heldout,17,100,0.65,0.64,-1.0000000000000009,0.6457131288591963,0.6347402597402598,-1.0972869118936468,0.65,0.64,-1.0000000000000009
OpenBMI_MI,0,0,heldout,18,100,0.6399999999999999,0.65,1.000000000000012,0.6386993175431553,0.6457131288591963,0.7013811316040952,0.64,0.65,1.0000000000000009
OpenBMI_MI,0,0,heldout,24,100,0.55,0.5700000000000001,2.0000000000000018,0.5248653785239151,0.557203171661003,3.2337793137087845,0.55,0.57,1.9999999999999907
