task,fold,layer,calibration_count,batches,old_mean_norm,new_mean_norm,mean_shift,old_variance_norm,new_variance_norm,variance_shift,relative_mean_shift,relative_variance_shift
OpenBMI_MI,0,temporal_norm.0,161200000,21,0.0030698094273734025,0.0017713151986860696,0.0013263409071390434,1.4464013755112903,1.4935614407024722,0.05043375513273256,0.4320596892146137,0.03486843692671729
OpenBMI_MI,0,temporal_norm.1,161200000,21,0.007459381965325518,0.005743764802701228,0.0018265976245433805,1.8735076653534106,1.953695575571203,0.09400413183443204,0.24487251531483548,0.05017547222935941
OpenBMI_MI,0,temporal_norm.2,161200000,21,0.017457046791066667,0.01450462159113891,0.0031739838186819066,1.5673690994310046,1.5906386621936992,0.04291121392061658,0.18181676755922635,0.02737786137049305
OpenBMI_MI,0,spatial_norm.0,2600000,21,0.09062916229340727,0.09371417716843251,0.012082882220935145,0.2863107219367223,0.29745285946959493,0.0284980370533096,0.13332223221723524,0.0995353469843437
OpenBMI_MI,0,spatial_norm.1,2600000,21,0.09750680298579756,0.10776012657676007,0.018395897669608162,0.25662237819165973,0.27639769225990884,0.03659250430547071,0.1886627097422898,0.14259280333744476
OpenBMI_MI,0,spatial_norm.2,2600000,21,0.12160707861656263,0.12325461612983411,0.019723710193965936,0.3617263597483119,0.3723318227362904,0.0326909912856949,0.16219212251744372,0.0903749212759645
OpenBMI_MI,0,norm1,650000,21,0.43698765460024513,0.44477956621420117,0.016701998744316004,0.5594147719423567,0.45112820870857645,0.11055237390644836,0.03822075650991774,0.1976214777500368
OpenBMI_MI,0,norm2,325000,21,0.3357019127362557,0.34183413358859444,0.021823036148500976,0.5354242856983352,0.493656783075072,0.04735214023045849,0.06500718441138657,0.08843853649391108
OpenBMI_MI,1,temporal_norm.0,161200000,21,0.004670887775860071,0.001748908233498376,0.006281296652916559,1.1980641070861262,1.5324225159908194,0.33618765962308256,1.3447757587710307,0.28060907395076046
OpenBMI_MI,1,temporal_norm.1,161200000,21,0.004751721125386807,0.005315470575841371,0.008378680374137885,1.852728704480003,2.4129739540927724,0.563271345062436,1.763293794615489,0.30402257151865464
OpenBMI_MI,1,temporal_norm.2,161200000,21,0.009621097096795303,0.01709715598406297,0.008615593818458427,1.6588810156780003,2.1385659282134903,0.48438367731591364,0.8954897483913972,0.2919942254676665
OpenBMI_MI,1,spatial_norm.0,2600000,21,0.07680276067073133,0.07754086556027717,0.012380791289308428,0.2678419936954438,0.29140220742675527,0.03046574088725105,0.1612024252928529,0.1137451990515455
OpenBMI_MI,1,spatial_norm.1,2600000,21,0.09248135421074469,0.09643305243184058,0.014543058588669555,0.30090978003534335,0.32203465374924994,0.03318165921230443,0.15725395365133948,0.11027112248863125
OpenBMI_MI,1,spatial_norm.2,2600000,21,0.08054978545327288,0.07636712411493585,0.01527726061563831,0.2633707100243264,0.2810029580704844,0.02780203151395163,0.18966233776625868,0.1055623516805786
OpenBMI_MI,1,norm1,650000,21,0.41219390093406344,0.4154530734239707,0.014534049945187205,0.6161217107805438,0.49820067639876786,0.12073024398421804,0.03526022561772971,0.19595193915706846
OpenBMI_MI,1,norm2,325000,21,0.33968982116726903,0.3399898049475883,0.00812569184416156,0.554024154460894,0.5098731326298621,0.04843091598826396,0.023920916488576003,0.08741661459759056
OpenBMI_MI,2,temporal_norm.0,161200000,21,0.0021894010417207828,0.001890397882521898,0.00031820870518561254,1.436286807534634,2.032087528532066,0.5987192304865465,0.14534052881216913,0.4168521407741951
OpenBMI_MI,2,temporal_norm.1,161200000,21,0.0061295312616763565,0.005991606368782953,0.000315698456042808,1.5883966953082644,2.2647172786839387,0.6829296136260229,0.05150450214956047,0.4299490269925832
OpenBMI_MI,2,temporal_norm.2,161200000,21,0.01930541160451795,0.018665599062009753,0.0008406440338722138,1.3461094596031777,1.934164169540758,0.5951590876754038,0.04354447608231684,0.44213275780028466
OpenBMI_MI,2,spatial_norm.0,2600000,21,0.07773269124885022,0.08165019893522095,0.013968645505954771,0.2960408597588727,0.31239476503902164,0.01893401283052676,0.17970104059868616,0.06395743089635884
OpenBMI_MI,2,spatial_norm.1,2600000,21,0.14128437378150102,0.14640602296243144,0.016289716809098076,0.38858908552249616,0.4201375219878598,0.03437288371202913,0.11529737063697103,0.08845560771685446
OpenBMI_MI,2,spatial_norm.2,2600000,21,0.1488156024702215,0.14383722417313766,0.022360988046698525,0.35577914083883155,0.34625186926113066,0.02969040696385015,0.15025970177537692,0.0834517922940849
OpenBMI_MI,2,norm1,650000,21,0.4262961156157721,0.4305420287431676,0.010847729345398058,0.6577484661709313,0.5345570784695598,0.12564557451215633,0.02544646537472863,0.19102374383873422
OpenBMI_MI,2,norm2,325000,21,0.33951465595896096,0.34338516133340197,0.00965339645009154,0.5791553006246926,0.5474897606703305,0.037383372633384614,0.028432930009532197,0.06454809719096398
OpenBMI_MI,3,temporal_norm.0,161200000,21,0.0008903580334336887,0.0019017220243626206,0.0011842145073148135,1.61554434841015,1.7601173818792184,0.1461145091443756,1.3300430420646172,0.09044289578813867
OpenBMI_MI,3,temporal_norm.1,161200000,21,0.005476156449930962,0.005831997518698718,0.001087395539924106,1.9373724188530304,2.110997302395991,0.18560071399907538,0.19856911501091515,0.09580022518796635
OpenBMI_MI,3,temporal_norm.2,161200000,21,0.015581426453153678,0.01518126760664781,0.0015421280519943498,1.7203706155831968,1.9236164829068645,0.20687365888061562,0.09897219979382718,0.12024947241410916
OpenBMI_MI,3,spatial_norm.0,2600000,21,0.08224328611274218,0.08599782345882104,0.014314396765436327,0.26426739797126675,0.28092876507885606,0.024921838997256945,0.17404942630591896,0.09430538609218321
OpenBMI_MI,3,spatial_norm.1,2600000,21,0.17626656356168255,0.18424930863232342,0.013259032338648124,0.7485836995471599,0.7322151850963096,0.03257979755420692,0.07522148313743163,0.04352191688640213
