task,fold,seed,historical_BA,replayed_BA,delta_BA,status
OpenBMI_MI,0,0,0.8262499999999999,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_MI,1,0,0.8325,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_MI,2,0,0.7275,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_MI,3,0,0.7875000000000001,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_MI,4,0,0.78375,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
WBCIC_MI,0,0,0.7792857142857141,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
WBCIC_MI,1,0,0.7733333333333333,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
WBCIC_MI,2,0,0.7558333333333334,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
WBCIC_MI,3,0,0.8405408249158249,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
WBCIC_MI,4,0,0.7875000000000001,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_ERP,0,0,0.8105681818181818,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_ERP,1,0,0.8928787878787879,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_ERP,2,0,0.7684090909090909,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_ERP,3,0,0.8753030303030304,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_ERP,4,0,0.835530303030303,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_SSVEP,0,0,0.84125,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_SSVEP,1,0,0.88625,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_SSVEP,2,0,0.8374999999999999,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_SSVEP,3,0,0.8300000000000001,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
OpenBMI_SSVEP,4,0,0.975,,,NOT_RUN_GLOBAL_SOURCE_GATE_BLOCKED
