task,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp,original_fold_SD,preciseBN_fold_SD,SD_change_pp,positive_folds,negative_folds,tied_folds
OpenBMI_MI,0.7915,0.788,-0.35000000000000026,0.7876279401445144,0.7828601753797545,-0.4767764764759807,0.7915,0.788,-0.35000000000000114,0.03757825168897561,0.03640570010314319,-0.11725515858324251,2,3,0
OpenBMI_ERP,0.8325530303030304,0.8315681818181819,-0.0984848484848491,0.7849007785444035,0.791510297453309,0.6609518908905528,0.8631439393939395,0.8706439393939392,0.7500000000000011,0.04607142391904525,0.04580966456228923,-0.026175935675602086,1,4,0
OpenBMI_SSVEP,0.892,0.89125,-0.07500000000000062,0.8880354422696188,0.8862965748055032,-0.17388674641156038,0.892,0.89125,-0.07500000000000036,0.04766156732630602,0.04659667370102723,-0.10648936252787913,2,2,1
WBCIC_MI,0.7872986411736412,0.7108994107744108,-7.639923039923042,0.7822146546932216,0.6723678916993695,-10.984676299385212,0.7872887667887668,0.7109316239316239,-7.635714285714286,0.028579968834428666,0.10630682905507834,7.772686022064967,1,4,0
