version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8356666666666668,0.8361666666666666,-0.0004999999999999894,0.0015907898179514529,1,3,6,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8355,0.8361666666666666,-0.000666666666666682,0.0020225486268185947,2,1,6,2
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8345238095238094,0.8361666666666666,-0.001642857142857146,0.002364706479606735,1,1,6,4
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8345476190476191,0.8361666666666666,-0.0016190476190476755,0.0025968758484640037,1,1,6,3
V0,V0__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8365952380952381,0.8361904761904763,0.00040476190476190776,0.0009977298495122348,2,3,3,1
V0,V0__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8353809523809523,0.8361666666666666,-0.0007857142857142563,0.0017842851423995397,1,3,6,1
V0,V0__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8365952380952381,0.8361904761904763,0.00040476190476190776,0.0009977298495122348,2,3,3,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8356666666666668,0.8361666666666666,-0.0004999999999999894,0.0015907898179514529,1,3,6,1
V0,V0__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8367380952380952,0.8361904761904763,0.0005476190476190413,0.0010795984808337736,2,3,3,2
V0,V0__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8355,0.8361666666666666,-0.000666666666666682,0.0020225486268185947,2,1,6,2
V0,V0__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8367380952380952,0.8361904761904763,0.0005476190476190413,0.0010795984808337736,2,3,3,2
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8355,0.8361666666666666,-0.000666666666666682,0.0020225486268185947,2,1,6,2
