fold,arm,stage,discovery_persistence_rho,final_P_recoverability_variance_weighted_R2,erasure_BA_drop,erasure_NLL_increase,P_only_hybrid_BA,P_only_hybrid_NLL
0,BASELINE,H_SHARED1,0.7194750875526433,0.2480064034461975,0.10083333333333333,0.1323043704032898,,
0,BASELINE,H_SHARED2,0.6956562254781862,0.339910626411438,0.09666666666666668,0.08969110250473022,0.7316666666666667,0.5823450088500977
0,SHARED_CE_CONTINUATION,H_SHARED1,0.7089145051438015,0.23918551206588745,0.1133333333333334,0.21921658515930176,,
0,SHARED_CE_CONTINUATION,H_SHARED2,0.6734203477239613,0.3087935447692871,0.10416666666666674,0.12923085689544678,0.7166666666666667,0.6129757165908813
0,STAGEWISE_PU_SHARED,H_SHARED1,0.7139795411235449,0.2447914481163025,0.11416666666666664,0.17695486545562744,,
0,STAGEWISE_PU_SHARED,H_SHARED2,0.6927437568303356,0.3052011728286743,0.08416666666666661,0.06427878141403198,0.7158333333333333,0.6123325824737549
1,BASELINE,H_SHARED1,0.7491392412529231,0.2653016448020935,0.15333333333333332,0.25271257758140564,,
1,BASELINE,H_SHARED2,0.7405184484576499,0.3610996603965759,0.1283333333333332,0.1440848410129547,0.8049999999999999,0.4748246371746063
1,SHARED_CE_CONTINUATION,H_SHARED1,0.7310587192065866,0.2608298659324646,0.21166666666666678,0.3914114832878113,,
1,SHARED_CE_CONTINUATION,H_SHARED2,0.7429645368792809,0.3432748317718506,0.13083333333333336,0.14321261644363403,0.7941666666666667,0.4734856188297272
1,STAGEWISE_PU_SHARED,H_SHARED1,0.7389105347669648,0.26589012145996094,0.19166666666666665,0.31174784898757935,,
1,STAGEWISE_PU_SHARED,H_SHARED2,0.7420767826503827,0.3529320955276489,0.10999999999999999,0.13496649265289307,0.8016666666666667,0.49645787477493286
2,BASELINE,H_SHARED1,0.7102220201946476,0.26249897480010986,0.12250000000000005,0.18913519382476807,,
2,BASELINE,H_SHARED2,0.6943744134601741,0.3480111360549927,0.11916666666666664,0.13031184673309326,0.7941666666666667,0.5424844026565552
2,SHARED_CE_CONTINUATION,H_SHARED1,0.708369296711296,0.2564857006072998,0.14249999999999996,0.22966784238815308,,
2,SHARED_CE_CONTINUATION,H_SHARED2,0.7024777652558394,0.33280348777770996,0.09583333333333321,0.08829623460769653,0.7875,0.5488641858100891
2,STAGEWISE_PU_SHARED,H_SHARED1,0.7098600450402683,0.26119256019592285,0.1558333333333335,0.23441874980926514,,
2,STAGEWISE_PU_SHARED,H_SHARED2,0.7370682931330345,0.33737635612487793,0.10833333333333339,0.11818593740463257,0.78,0.5732969641685486
3,BASELINE,H_SHARED1,0.690027741114017,0.2904006242752075,0.10749999999999993,0.13718360662460327,,
3,BASELINE,H_SHARED2,0.644112369838592,0.3919122815132141,0.12083333333333335,0.11295217275619507,0.7783333333333333,0.5761106610298157
3,SHARED_CE_CONTINUATION,H_SHARED1,0.6790342864917885,0.2835013270378113,0.1283333333333333,0.19019556045532227,,
3,SHARED_CE_CONTINUATION,H_SHARED2,0.6325997976983296,0.3827112913131714,0.135,0.14821875095367432,0.7725,0.5688835382461548
3,STAGEWISE_PU_SHARED,H_SHARED1,0.6764523564870912,0.2874568700790405,0.125,0.18398451805114746,,
3,STAGEWISE_PU_SHARED,H_SHARED2,0.6368489005156205,0.38719642162323,0.1233333333333333,0.14488297700881958,0.7758333333333334,0.5795081853866577
4,BASELINE,H_SHARED1,0.5076845446376679,0.2884848713874817,0.08500000000000008,0.10437703132629395,,
4,BASELINE,H_SHARED2,0.5796479548106839,0.3732307553291321,0.04166666666666663,-0.009038090705871582,0.7391666666666666,0.6463533043861389
4,SHARED_CE_CONTINUATION,H_SHARED1,0.4878430634174955,0.28652888536453247,0.10999999999999999,0.2210627794265747,,
4,SHARED_CE_CONTINUATION,H_SHARED2,0.5440226832554199,0.3667107820510864,0.05583333333333329,0.027924656867980957,0.7325,0.6290203332901001
4,STAGEWISE_PU_SHARED,H_SHARED1,0.5020997569131653,0.2916386127471924,0.10749999999999993,0.19572806358337402,,
4,STAGEWISE_PU_SHARED,H_SHARED2,0.595464814675606,0.36921703815460205,0.040000000000000036,0.006090939044952393,0.7291666666666667,0.646876335144043
