fold,arm,variant,BA,macro_F1,NLL,trials,wrong_to_correct,correct_to_wrong
0,BASELINE,BASE,0.7316666666666667,0.7299382716049383,0.5823450088500977,1200,0,0
0,SHARED_CE_CONTINUATION,BASE,0.7316666666666667,0.7299382716049383,0.5823450088500977,1200,0,0
0,SHARED_CE_CONTINUATION,FULL_STUDENT,0.6991666666666667,0.6979229061880479,0.6360436081886292,1200,41,80
0,SHARED_CE_CONTINUATION,P_ONLY_CHANGE,0.7166666666666667,0.7114070603413885,0.6129757165908813,1200,32,50
0,SHARED_CE_CONTINUATION,C_ONLY_CHANGE,0.7191666666666667,0.7191571102072223,0.608887791633606,1200,42,57
0,STAGEWISE_PU_SHARED,BASE,0.7316666666666667,0.7299382716049383,0.5823450088500977,1200,0,0
0,STAGEWISE_PU_SHARED,FULL_STUDENT,0.7083333333333333,0.7068971292667403,0.6122602820396423,1200,40,68
0,STAGEWISE_PU_SHARED,P_ONLY_CHANGE,0.7158333333333333,0.7140411258058317,0.6123325824737549,1200,31,50
0,STAGEWISE_PU_SHARED,C_ONLY_CHANGE,0.73,0.7284036168143868,0.5773146152496338,1200,20,22
1,BASELINE,BASE,0.8049999999999999,0.8049913329481311,0.4748246371746063,1200,0,0
1,SHARED_CE_CONTINUATION,BASE,0.8049999999999999,0.8049913329481311,0.4748246371746063,1200,0,0
1,SHARED_CE_CONTINUATION,FULL_STUDENT,0.795,0.7946983205877526,0.5338096618652344,1200,25,37
1,SHARED_CE_CONTINUATION,P_ONLY_CHANGE,0.7941666666666667,0.7940910237163514,0.4734856188297272,1200,12,25
1,SHARED_CE_CONTINUATION,C_ONLY_CHANGE,0.7983333333333333,0.7980859886694534,0.5367090106010437,1200,23,31
1,STAGEWISE_PU_SHARED,BASE,0.8049999999999999,0.8049913329481311,0.4748246371746063,1200,0,0
1,STAGEWISE_PU_SHARED,FULL_STUDENT,0.7941666666666667,0.7938504274960686,0.4969267249107361,1200,22,35
1,STAGEWISE_PU_SHARED,P_ONLY_CHANGE,0.8016666666666667,0.8012337980490847,0.49645787477493286,1200,25,29
1,STAGEWISE_PU_SHARED,C_ONLY_CHANGE,0.7991666666666667,0.7991598325220788,0.47835037112236023,1200,9,16
2,BASELINE,BASE,0.7941666666666667,0.7941493694956312,0.5424844026565552,1200,0,0
2,SHARED_CE_CONTINUATION,BASE,0.7941666666666667,0.7941493694956312,0.5424844026565552,1200,0,0
2,SHARED_CE_CONTINUATION,FULL_STUDENT,0.7766666666666666,0.7764654856037101,0.5790942907333374,1200,26,47
2,SHARED_CE_CONTINUATION,P_ONLY_CHANGE,0.7875,0.7874821425967043,0.5488641858100891,1200,14,22
2,SHARED_CE_CONTINUATION,C_ONLY_CHANGE,0.7949999999999999,0.7949635490753912,0.568403422832489,1200,20,19
2,STAGEWISE_PU_SHARED,BASE,0.7941666666666667,0.7941493694956312,0.5424844026565552,1200,0,0
2,STAGEWISE_PU_SHARED,FULL_STUDENT,0.7816666666666667,0.7815112969222558,0.5634778738021851,1200,25,40
2,STAGEWISE_PU_SHARED,P_ONLY_CHANGE,0.78,0.7798232469955048,0.5732969641685486,1200,22,39
2,STAGEWISE_PU_SHARED,C_ONLY_CHANGE,0.7866666666666666,0.7866186558642361,0.5352257490158081,1200,3,12
3,BASELINE,BASE,0.7783333333333333,0.7782939189189189,0.5761106610298157,1200,0,0
3,SHARED_CE_CONTINUATION,BASE,0.7783333333333333,0.7782939189189189,0.5761106610298157,1200,0,0
3,SHARED_CE_CONTINUATION,FULL_STUDENT,0.7783333333333333,0.7781336536215928,0.5736599564552307,1200,32,32
3,SHARED_CE_CONTINUATION,P_ONLY_CHANGE,0.7725,0.7721504724956548,0.5688835382461548,1200,18,25
3,SHARED_CE_CONTINUATION,C_ONLY_CHANGE,0.7741666666666667,0.7740974840211481,0.580779492855072,1200,16,21
3,STAGEWISE_PU_SHARED,BASE,0.7783333333333333,0.7782939189189189,0.5761106610298157,1200,0,0
3,STAGEWISE_PU_SHARED,FULL_STUDENT,0.7716666666666667,0.7714609815500617,0.5687279105186462,1200,25,33
3,STAGEWISE_PU_SHARED,P_ONLY_CHANGE,0.7758333333333334,0.7754276996157643,0.5795081853866577,1200,26,29
3,STAGEWISE_PU_SHARED,C_ONLY_CHANGE,0.7716666666666667,0.7716032231175327,0.565413236618042,1200,10,18
4,BASELINE,BASE,0.7391666666666666,0.739114308357719,0.6463532447814941,1200,0,0
4,SHARED_CE_CONTINUATION,BASE,0.7391666666666666,0.739114308357719,0.6463532447814941,1200,0,0
4,SHARED_CE_CONTINUATION,FULL_STUDENT,0.7308333333333333,0.7299916197089398,0.6730993390083313,1200,34,44
4,SHARED_CE_CONTINUATION,P_ONLY_CHANGE,0.7325,0.732272245486612,0.6290203332901001,1200,12,20
4,SHARED_CE_CONTINUATION,C_ONLY_CHANGE,0.7275,0.7269673968178203,0.6827136278152466,1200,20,34
4,STAGEWISE_PU_SHARED,BASE,0.7391666666666666,0.739114308357719,0.6463532447814941,1200,0,0
4,STAGEWISE_PU_SHARED,FULL_STUDENT,0.72,0.7196565793096543,0.6576928496360779,1200,24,47
4,STAGEWISE_PU_SHARED,P_ONLY_CHANGE,0.7291666666666667,0.7285103782128882,0.646876335144043,1200,19,31
4,STAGEWISE_PU_SHARED,C_ONLY_CHANGE,0.7324999999999999,0.7324908972596984,0.6546167135238647,1200,10,18
