fold,arm,BA,macro_F1,NLL,worst_session_BA,future_session_BA
0,BASELINE,0.7316666666666668,0.7276722898896635,0.5823450436194738,0.7116666666666666,0.725
0,SHARED_CE_CONTINUATION,0.6991666666666667,0.6913532930418134,0.6360435063640276,0.6699999999999999,0.6733333333333333
0,STAGEWISE_PU_SHARED,0.7083333333333334,0.7016254812499434,0.612260269622008,0.6816666666666666,0.6816666666666666
1,BASELINE,0.805,0.801549338930744,0.474824591850241,0.7783333333333333,0.8000000000000002
1,SHARED_CE_CONTINUATION,0.795,0.7900713589502476,0.5338096842169762,0.775,0.7983333333333332
1,STAGEWISE_PU_SHARED,0.7941666666666666,0.7893966504443872,0.49692680686712265,0.7716666666666665,0.7949999999999999
2,BASELINE,0.7941666666666668,0.7875259035675807,0.5424843213210503,0.7466666666666667,0.7716666666666666
2,SHARED_CE_CONTINUATION,0.7766666666666665,0.7664984144185055,0.5790943037718534,0.725,0.7516666666666666
2,STAGEWISE_PU_SHARED,0.7816666666666666,0.7708373314157422,0.5634778918077549,0.7316666666666668,0.7549999999999999
3,BASELINE,0.7783333333333333,0.77074383221137,0.5761105883866549,0.7616666666666667,0.7783333333333333
3,SHARED_CE_CONTINUATION,0.7783333333333334,0.7711626702338822,0.5736599477628866,0.7599999999999999,0.7716666666666665
3,STAGEWISE_PU_SHARED,0.7716666666666665,0.7638257380036148,0.5687279207631946,0.75,0.7633333333333333
4,BASELINE,0.7391666666666667,0.730894845264675,0.6463532783091068,0.7033333333333333,0.7433333333333333
4,SHARED_CE_CONTINUATION,0.7308333333333333,0.7198546480019302,0.6730992943048477,0.6983333333333333,0.7266666666666666
4,STAGEWISE_PU_SHARED,0.7200000000000001,0.7080752159399165,0.6576928546031316,0.69,0.7183333333333334
