fold,arm,epoch,component,parameter,gradient_L2
0,STAGEWISE_PU_SHARED,1,PUTILITY,depth1.weight,0.20222578942775726
0,STAGEWISE_PU_SHARED,1,PUTILITY,point1.weight,0.3145453631877899
0,STAGEWISE_PU_SHARED,1,PUTILITY,depth2.weight,0.1752234250307083
0,STAGEWISE_PU_SHARED,1,PUTILITY,point2.weight,0.18243950605392456
0,STAGEWISE_PU_SHARED,1,PERSIST,depth1.weight,0.01690305396914482
0,STAGEWISE_PU_SHARED,1,PERSIST,point1.weight,0.013394337147474289
0,STAGEWISE_PU_SHARED,1,PERSIST,depth2.weight,0.0
0,STAGEWISE_PU_SHARED,1,PERSIST,point2.weight,0.0
0,STAGEWISE_PU_SHARED,1,VAR,depth1.weight,0.0
0,STAGEWISE_PU_SHARED,1,VAR,point1.weight,0.0
0,STAGEWISE_PU_SHARED,1,VAR,depth2.weight,0.0
0,STAGEWISE_PU_SHARED,1,VAR,point2.weight,0.0
0,STAGEWISE_PU_SHARED,1,C,depth1.weight,7.987638328543767e-10
0,STAGEWISE_PU_SHARED,1,C,point1.weight,1.5387294771684878e-09
0,STAGEWISE_PU_SHARED,1,C,depth2.weight,8.362620596003012e-10
0,STAGEWISE_PU_SHARED,1,C,point2.weight,1.3924470465553895e-09
0,STAGEWISE_PU_SHARED,1,ANCHOR,depth1.weight,2.1876772393625288e-08
0,STAGEWISE_PU_SHARED,1,ANCHOR,point1.weight,3.5707021339703715e-08
0,STAGEWISE_PU_SHARED,1,ANCHOR,depth2.weight,1.6824698079176414e-08
0,STAGEWISE_PU_SHARED,1,ANCHOR,point2.weight,1.86488691156228e-08
1,STAGEWISE_PU_SHARED,1,PUTILITY,depth1.weight,0.2907297909259796
1,STAGEWISE_PU_SHARED,1,PUTILITY,point1.weight,0.34397417306900024
1,STAGEWISE_PU_SHARED,1,PUTILITY,depth2.weight,0.22370630502700806
1,STAGEWISE_PU_SHARED,1,PUTILITY,point2.weight,0.21927283704280853
1,STAGEWISE_PU_SHARED,1,PERSIST,depth1.weight,0.017341287806630135
1,STAGEWISE_PU_SHARED,1,PERSIST,point1.weight,0.015373102389276028
1,STAGEWISE_PU_SHARED,1,PERSIST,depth2.weight,0.0
1,STAGEWISE_PU_SHARED,1,PERSIST,point2.weight,0.0
1,STAGEWISE_PU_SHARED,1,VAR,depth1.weight,0.0
1,STAGEWISE_PU_SHARED,1,VAR,point1.weight,0.0
1,STAGEWISE_PU_SHARED,1,VAR,depth2.weight,0.0
1,STAGEWISE_PU_SHARED,1,VAR,point2.weight,0.0
1,STAGEWISE_PU_SHARED,1,C,depth1.weight,1.033896634972109e-09
1,STAGEWISE_PU_SHARED,1,C,point1.weight,1.846460206955669e-09
1,STAGEWISE_PU_SHARED,1,C,depth2.weight,9.337166595457802e-10
1,STAGEWISE_PU_SHARED,1,C,point2.weight,1.655713788295543e-09
1,STAGEWISE_PU_SHARED,1,ANCHOR,depth1.weight,1.5173382550415226e-08
1,STAGEWISE_PU_SHARED,1,ANCHOR,point1.weight,2.363697859664171e-08
1,STAGEWISE_PU_SHARED,1,ANCHOR,depth2.weight,1.8061792061985216e-08
1,STAGEWISE_PU_SHARED,1,ANCHOR,point2.weight,1.749198474954028e-08
2,STAGEWISE_PU_SHARED,1,PUTILITY,depth1.weight,0.39531415700912476
2,STAGEWISE_PU_SHARED,1,PUTILITY,point1.weight,0.543889045715332
2,STAGEWISE_PU_SHARED,1,PUTILITY,depth2.weight,0.23183214664459229
2,STAGEWISE_PU_SHARED,1,PUTILITY,point2.weight,0.2943185865879059
2,STAGEWISE_PU_SHARED,1,PERSIST,depth1.weight,0.015172278508543968
2,STAGEWISE_PU_SHARED,1,PERSIST,point1.weight,0.015137182548642159
2,STAGEWISE_PU_SHARED,1,PERSIST,depth2.weight,0.0
2,STAGEWISE_PU_SHARED,1,PERSIST,point2.weight,0.0
2,STAGEWISE_PU_SHARED,1,VAR,depth1.weight,0.0
2,STAGEWISE_PU_SHARED,1,VAR,point1.weight,0.0
2,STAGEWISE_PU_SHARED,1,VAR,depth2.weight,0.0
2,STAGEWISE_PU_SHARED,1,VAR,point2.weight,0.0
2,STAGEWISE_PU_SHARED,1,C,depth1.weight,1.1357124130029206e-09
2,STAGEWISE_PU_SHARED,1,C,point1.weight,1.8327759310210467e-09
2,STAGEWISE_PU_SHARED,1,C,depth2.weight,9.834044689682742e-10
2,STAGEWISE_PU_SHARED,1,C,point2.weight,1.6636856337015615e-09
2,STAGEWISE_PU_SHARED,1,ANCHOR,depth1.weight,1.7966131693469833e-08
2,STAGEWISE_PU_SHARED,1,ANCHOR,point1.weight,3.1680386314292264e-08
2,STAGEWISE_PU_SHARED,1,ANCHOR,depth2.weight,2.0253429156014136e-08
2,STAGEWISE_PU_SHARED,1,ANCHOR,point2.weight,2.211676175534194e-08
3,STAGEWISE_PU_SHARED,1,PUTILITY,depth1.weight,0.18583302199840546
3,STAGEWISE_PU_SHARED,1,PUTILITY,point1.weight,0.2869431674480438
3,STAGEWISE_PU_SHARED,1,PUTILITY,depth2.weight,0.1453273743391037
3,STAGEWISE_PU_SHARED,1,PUTILITY,point2.weight,0.1577710211277008
3,STAGEWISE_PU_SHARED,1,PERSIST,depth1.weight,0.014199222438037395
3,STAGEWISE_PU_SHARED,1,PERSIST,point1.weight,0.013557306490838528
3,STAGEWISE_PU_SHARED,1,PERSIST,depth2.weight,0.0
3,STAGEWISE_PU_SHARED,1,PERSIST,point2.weight,0.0
3,STAGEWISE_PU_SHARED,1,VAR,depth1.weight,0.0
3,STAGEWISE_PU_SHARED,1,VAR,point1.weight,0.0
3,STAGEWISE_PU_SHARED,1,VAR,depth2.weight,0.0
3,STAGEWISE_PU_SHARED,1,VAR,point2.weight,0.0
3,STAGEWISE_PU_SHARED,1,C,depth1.weight,8.659156724988293e-10
3,STAGEWISE_PU_SHARED,1,C,point1.weight,1.5194115965400101e-09
3,STAGEWISE_PU_SHARED,1,C,depth2.weight,8.502096804363646e-10
3,STAGEWISE_PU_SHARED,1,C,point2.weight,1.3671227483413873e-09
3,STAGEWISE_PU_SHARED,1,ANCHOR,depth1.weight,1.7089314852114512e-08
3,STAGEWISE_PU_SHARED,1,ANCHOR,point1.weight,2.9095133413648e-08
3,STAGEWISE_PU_SHARED,1,ANCHOR,depth2.weight,1.7525115580951933e-08
3,STAGEWISE_PU_SHARED,1,ANCHOR,point2.weight,1.837057617137816e-08
4,STAGEWISE_PU_SHARED,1,PUTILITY,depth1.weight,0.38247954845428467
4,STAGEWISE_PU_SHARED,1,PUTILITY,point1.weight,0.5278828740119934
4,STAGEWISE_PU_SHARED,1,PUTILITY,depth2.weight,0.24596421420574188
4,STAGEWISE_PU_SHARED,1,PUTILITY,point2.weight,0.24523136019706726
4,STAGEWISE_PU_SHARED,1,PERSIST,depth1.weight,0.016485782340168953
4,STAGEWISE_PU_SHARED,1,PERSIST,point1.weight,0.019686629995703697
4,STAGEWISE_PU_SHARED,1,PERSIST,depth2.weight,0.0
4,STAGEWISE_PU_SHARED,1,PERSIST,point2.weight,0.0
4,STAGEWISE_PU_SHARED,1,VAR,depth1.weight,0.0
4,STAGEWISE_PU_SHARED,1,VAR,point1.weight,0.0
4,STAGEWISE_PU_SHARED,1,VAR,depth2.weight,0.0
4,STAGEWISE_PU_SHARED,1,VAR,point2.weight,0.0
4,STAGEWISE_PU_SHARED,1,C,depth1.weight,2.9986129135295414e-09
4,STAGEWISE_PU_SHARED,1,C,point1.weight,6.427822274446271e-09
4,STAGEWISE_PU_SHARED,1,C,depth2.weight,2.564276568861601e-09
4,STAGEWISE_PU_SHARED,1,C,point2.weight,4.057083557995611e-09
4,STAGEWISE_PU_SHARED,1,ANCHOR,depth1.weight,2.1504943603645188e-08
4,STAGEWISE_PU_SHARED,1,ANCHOR,point1.weight,3.135193793468716e-08
4,STAGEWISE_PU_SHARED,1,ANCHOR,depth2.weight,1.7555050746409506e-08
4,STAGEWISE_PU_SHARED,1,ANCHOR,point2.weight,2.0771981468215017e-08
