dataset,recipe_id,architecture,lr,weight_decay,dropout,mean_validation_BA,mean_validation_NLL,minimum_fold_BA,median_best_epoch,final_epochs
OpenBMI,38,H2,0.0003,0.0001,0.4,0.7306250000000001,0.5976893695187954,0.70125,2.0,2
WBCIC,38,H2,0.0003,0.0001,0.4,0.7571094709659408,0.5532707153848984,0.700625,4.0,4
