model,dataset,fold,seed,architecture,lr,weight_decay,dropout,epochs,held_development_subject_BA,held_development_trial_BA,threshold,representation_changed,future_session_accessed
CBraMod,OpenBMI,0,0,H2,0.0003,0.0001,0.4,2,0.765625,0.765625,0.7519166667,False,False
CBraMod,OpenBMI,0,1,H2,0.0003,0.0001,0.4,2,0.7625000000000001,0.7625,0.7519166667,False,False
CBraMod,OpenBMI,0,2,H2,0.0003,0.0001,0.4,2,0.7531249999999999,0.753125,0.7519166667,False,False
CBraMod,OpenBMI,1,0,H2,0.0003,0.0001,0.4,2,0.671875,0.671875,0.7519166667,False,False
CBraMod,OpenBMI,1,1,H2,0.0003,0.0001,0.4,2,0.673125,0.673125,0.7519166667,False,False
CBraMod,OpenBMI,1,2,H2,0.0003,0.0001,0.4,2,0.6756249999999999,0.675625,0.7519166667,False,False
CBraMod,OpenBMI,2,0,H2,0.0003,0.0001,0.4,2,0.7193750000000001,0.7193750000000001,0.7519166667,False,False
CBraMod,OpenBMI,2,1,H2,0.0003,0.0001,0.4,2,0.731875,0.731875,0.7519166667,False,False
CBraMod,OpenBMI,2,2,H2,0.0003,0.0001,0.4,2,0.7375,0.7375,0.7519166667,False,False
CBraMod,OpenBMI,3,0,H2,0.0003,0.0001,0.4,2,0.758125,0.7581249999999999,0.7519166667,False,False
CBraMod,OpenBMI,3,1,H2,0.0003,0.0001,0.4,2,0.755625,0.755625,0.7519166667,False,False
CBraMod,OpenBMI,3,2,H2,0.0003,0.0001,0.4,2,0.7306250000000001,0.7306250000000001,0.7519166667,False,False
CBraMod,OpenBMI,4,0,H2,0.0003,0.0001,0.4,2,0.7474999999999999,0.7475,0.7519166667,False,False
CBraMod,OpenBMI,4,1,H2,0.0003,0.0001,0.4,2,0.746875,0.746875,0.7519166667,False,False
CBraMod,OpenBMI,4,2,H2,0.0003,0.0001,0.4,2,0.7518750000000001,0.7518750000000001,0.7519166667,False,False
CBraMod,WBCIC,0,0,H2,0.0003,0.0001,0.4,4,0.7844444444444445,0.7844444444444445,0.7684300821,False,False
CBraMod,WBCIC,0,1,H2,0.0003,0.0001,0.4,4,0.7891666666666667,0.7891666666666667,0.7684300821,False,False
CBraMod,WBCIC,0,2,H2,0.0003,0.0001,0.4,4,0.7983333333333333,0.7983333333333333,0.7684300821,False,False
CBraMod,WBCIC,1,0,H2,0.0003,0.0001,0.4,4,0.69375,0.69375,0.7684300821,False,False
CBraMod,WBCIC,1,1,H2,0.0003,0.0001,0.4,4,0.696875,0.696875,0.7684300821,False,False
CBraMod,WBCIC,1,2,H2,0.0003,0.0001,0.4,4,0.7003125,0.7003125,0.7684300821,False,False
CBraMod,WBCIC,2,0,H2,0.0003,0.0001,0.4,4,0.7464996859296482,0.7464854987492182,0.7684300821,False,False
CBraMod,WBCIC,2,1,H2,0.0003,0.0001,0.4,4,0.7508825376884423,0.7508663617886179,0.7684300821,False,False
CBraMod,WBCIC,2,2,H2,0.0003,0.0001,0.4,4,0.7449403266331658,0.7449218261413384,0.7684300821,False,False
CBraMod,WBCIC,3,0,H2,0.0003,0.0001,0.4,4,0.8089839824120603,0.808924436795995,0.7684300821,False,False
CBraMod,WBCIC,3,1,H2,0.0003,0.0001,0.4,4,0.8018027638190955,0.8017478879849813,0.7684300821,False,False
CBraMod,WBCIC,3,2,H2,0.0003,0.0001,0.4,4,0.8077198492462312,0.8076846057571965,0.7684300821,False,False
CBraMod,WBCIC,4,0,H2,0.0003,0.0001,0.4,4,0.7027104271356783,0.7027286585365853,0.7684300821,False,False
CBraMod,WBCIC,4,1,H2,0.0003,0.0001,0.4,4,0.6973806532663316,0.6974083411507193,0.7684300821,False,False
CBraMod,WBCIC,4,2,H2,0.0003,0.0001,0.4,4,0.7073586683417086,0.7074233896185116,0.7684300821,False,False
