model,type,dataset,BA,macro_F1,NLL,threshold,folds,seeds,parameters,competent
ATCNet,Specialist,OpenBMI,0.7670416666666667,0.7666634852582787,0.5140922099087014,0.7519166667,5,3,21698,True
ATCNet,Specialist,WBCIC,0.7859004396984924,0.7856465993478825,0.4313173536044984,0.7684300821,5,3,21570,True
EEGInceptionMI,Specialist,OpenBMI,0.7431666666666666,0.7420698847834113,0.5241750752358132,0.7519166667,5,3,47170,False
EEGInceptionMI,Specialist,WBCIC,0.6059908221663874,0.602257707724849,0.6857419784934823,0.7684300821,5,3,46978,False
FBCNet,Specialist,OpenBMI,0.6567083333333333,0.6550476513574005,0.6295708165950944,0.7519166667,5,3,5186,False
FBCNet,Specialist,WBCIC,0.5956199283454308,0.5918323079067397,0.7089069092484631,0.7684300821,5,3,4898,False
