model,type,dataset,fold,seed,config,BA,macro_F1,NLL,threshold,future_session_used,parameters
FBCNet,Specialist,OpenBMI,0,0,recipe_a,0.6968749999999999,0.696207487154392,0.5717686834072108,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,0,1,recipe_a,0.670625,0.6628482525247397,0.59795402235737,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,0,2,recipe_a,0.67625,0.6733015464567724,0.5961059941404865,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,1,0,recipe_a,0.621875,0.6195529353967084,0.6782861509460767,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,1,1,recipe_a,0.608125,0.6075914162969256,0.7113412385793494,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,1,2,recipe_a,0.603125,0.5995584106725567,0.6872528489524683,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,2,0,recipe_a,0.64125,0.640438739906915,0.6419493399349414,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,2,1,recipe_a,0.6612499999999999,0.6607071314102564,0.6283726711312366,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,2,2,recipe_a,0.65125,0.6487119437939111,0.6425909249372285,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,3,0,recipe_a,0.670625,0.6702064456022507,0.615995919117361,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,3,1,recipe_a,0.659375,0.6589421496266159,0.6336263823162169,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,3,2,recipe_a,0.680625,0.6802741758437285,0.6095292256316787,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,4,0,recipe_a,0.65625,0.6551589012108625,0.6156897490268299,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,4,1,recipe_a,0.68875,0.6883950625008799,0.5971454619739442,0.7519166667,False,5186
FBCNet,Specialist,OpenBMI,4,2,recipe_a,0.664375,0.6638201719634944,0.615953636474016,0.7519166667,False,5186
FBCNet,Specialist,WBCIC,0,0,recipe_a,0.6194444444444444,0.6193523371087325,0.6604579903661683,0.7684300821,False,4898
FBCNet,Specialist,WBCIC,0,1,recipe_a,0.6019444444444445,0.5951905930542559,0.6612836205185325,0.7684300821,False,4898
FBCNet,Specialist,WBCIC,0,2,recipe_a,0.6247222222222223,0.6245504598515788,0.666996606582188,0.7684300821,False,4898
