model,terminal,competent_both_datasets,admissible_both_datasets,Admissible,DeltaBA_SCST,reason
CBraMod-R1,CBRAMOD_COMPETENCE_NOT_RECOVERED,False,False,False,,training gate closed
ATCNet,SPECIALIST_COMPETENT_NOT_ADMISSIBLE,True,False,False,,training gate closed
EEGInceptionMI,SPECIALIST_NOT_COMPETENT,False,False,False,,training gate closed
FBCNet,SPECIALIST_NOT_COMPETENT,False,False,False,,training gate closed
