dataset,BA,minimum_fold_BA,folds,seeds,threshold,competent,geometry_preserved
OpenBMI,0.7320833333333333,0.671875,5,3,0.7519166667,False,True
WBCIC,0.7487440559277871,0.69375,5,3,0.7684300821,False,True
