dataset,model,fold,seed,independent_probe_BA,residual_stability,stability_CI_low,stability_CI_high,affinity_improvement,affinity_CI_low,affinity_CI_high,advantage_over_random,advantage_over_random_CI_low,advantage_over_random_CI_high,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,manifold_transport_mean,manifold_clean_mean,independent_session_3NN_ratio,off_manifold_rate,random_off_manifold_rate,off_manifold_excess_vs_random,source_subjects
OpenBMI,CBraMod-R1,0,0,0.715,0.6865125688198118,0.6266902104122013,0.744643654545041,0.12948003093599755,0.11234315180913965,0.14392888780723087,0.16043380886521344,0.1390000802543078,0.17967631505331835,0.005887681159420289,-0.005887681159420289,0.010911075930596455,4.2981031564174454,3.8262058572565674,1.1233329613632534,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,0,1,0.6575,0.6881788898883174,0.6295793893284105,0.7436995713538335,0.13391754512548104,0.12329164614637633,0.1437674862579439,0.16559821157893176,0.15419633101484595,0.17613872260602526,3.6231884057967524e-05,-3.6231884057967524e-05,6.797975071473024e-05,3.8276267235323576,3.3890895758690025,1.1293967414688084,0.0,0.0,0.0,24
OpenBMI,CBraMod-R1,0,2,0.67875,0.718596665500511,0.6625934811020721,0.7715510396462294,0.14860160047044976,0.1357266585427083,0.16108052337172124,0.18344415466806585,0.16719045057055412,0.19892661010080728,0.002481884057971014,-0.002481884057971014,0.004289879829519858,3.9094004050255466,3.45175255083407,1.1325842010548792,0.0,0.0,0.0,24
OpenBMI,CBraMod-R1,1,0,0.72,0.6909000941072424,0.6288098079798979,0.7458657568799013,0.1477552406607612,0.13475277701848115,0.16022286504737113,0.18730772515113156,0.16977702300373276,0.2040647764750009,0.0038043478260869554,-0.0038043478260869554,0.008887278355726658,3.776447935750004,3.3116370063183487,1.1403568472464922,0.0,0.0009057971014492754,-0.0009057971014492754,24
OpenBMI,CBraMod-R1,1,1,0.72375,0.6721592951713055,0.6238072977708775,0.7181239392501726,0.14268142855389498,0.13357395868122368,0.15200365686643946,0.17860332400339782,0.1662436121886543,0.19189027593047533,0.009184782608695655,-0.009184782608695655,0.016597316039620506,4.302025098787544,3.7843683010440547,1.1367881655706382,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,1,2,0.72125,0.7137054565804367,0.6562667312054221,0.7609132108527142,0.14566086921457322,0.12565286418307778,0.16138674434822292,0.18415589172816435,0.15859460487543725,0.20680071321941632,0.0006884057971014504,-0.0006884057971014504,0.012870984466861295,4.121729643831942,3.6460361850594,1.1304686609315129,0.041666666666666664,0.041666666666666664,0.0,24
OpenBMI,CBraMod-R1,2,0,0.6975,0.664229541810023,0.5861671208261774,0.7250680917669488,0.12889638360889635,0.11019713039230937,0.1455819541972857,0.15793648834026722,0.1346906191519716,0.1792017674270908,0.002173913043478255,-0.002173913043478255,0.0029416521910737557,4.644170377242591,4.247023221370161,1.0935118870728247,0.041666666666666664,0.041666666666666664,0.0,24
OpenBMI,CBraMod-R1,2,1,0.6375,0.6490931738208662,0.5826302402891427,0.7051862440064496,0.10972888548357895,0.0918541604411007,0.12662756474741946,0.13496849299762495,0.11195386307354895,0.1559047198627302,-5.434782608695779e-05,5.434782608695779e-05,-9.815192894778952e-05,4.413545374219707,4.079137766350863,1.0819799739610167,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,2,2,0.65625,0.6476492679128654,0.5619784898192256,0.7213369949607125,0.124256486489288,0.10782232690824495,0.13852273784445032,0.15679789296648122,0.13642653986796788,0.17459818893599896,0.0007246376811594207,-0.0007246376811594207,0.0018574978492078634,4.171871620310572,3.715552476008919,1.1228132686183485,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,3,0,0.7050000000000001,0.6865192578602715,0.617738818552592,0.7515593948241969,0.13504035905142783,0.11489751247289254,0.1534885521365498,0.17399793161127053,0.14871700731425833,0.1969844755620024,0.009184782608695655,-0.009184782608695655,0.015158288728179098,4.463708413801995,3.8876378683009447,1.1481800941898985,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,3,1,0.7025,0.6759655115513921,0.6162740085832609,0.7339311140255909,0.13925184498908863,0.12511601624520965,0.15235448140890598,0.17735421536061224,0.15884253819391322,0.1939396327382317,0.00045289855072463536,-0.00045289855072463536,8.149858988272154e-05,3.9689258979162507,3.5109197695683414,1.1304518924977371,0.020833333333333332,0.020833333333333332,0.0,24
OpenBMI,CBraMod-R1,3,2,0.68875,0.6509876865974172,0.5768208155628377,0.7226590021364536,0.12962630606234277,0.11200797450536448,0.1449459306829322,0.16481637935697394,0.1422759565814625,0.18348537070070225,0.002971014492753625,-0.002971014492753625,0.005596882533667619,4.1495601739896015,3.6645155749721474,1.1323625426318842,0.020833333333333332,0.020833333333333332,0.0,24
