dataset,model,independent_probe_BA,independent_session_3NN_ratio,gate_task_competence,gate_independent_probe_competence,gate_residual_stability,gate_subject_fidelity,gate_random_advantage,gate_class_fidelity,gate_manifold,all_admissibility_gates,source,task_BA,task_competent,residual_stability,stability_CI_low,stability_CI_high,affinity_improvement,affinity_CI_low,affinity_CI_high,advantage_over_random,advantage_over_random_CI_low,advantage_over_random_CI_high,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,off_manifold_excess_vs_random,audit_skipped_reason
OpenBMI,CBraMod-frozen,0.6888333333333333,1.1311343562795984,False,True,True,True,True,True,True,False,FM Rescue Stage-0,,,,,,,,,,,,,,,,
OpenBMI,LaBraM,0.6408333333333334,1.2373860232439695,False,True,True,True,True,True,True,False,FM Rescue Stage-0,,,,,,,,,,,,,,,,
WBCIC,CBraMod-frozen,0.7363427026839103,1.1172447618980812,False,True,True,True,True,True,True,False,FM Rescue Stage-0,,,,,,,,,,,,,,,,
WBCIC,LaBraM,0.756121563992027,1.3056123738964396,False,True,True,True,True,True,False,False,FM Rescue Stage-0,,,,,,,,,,,,,,,,
OpenBMI,EEGNet,0.7462499999999999,1.162847296228404,True,True,True,True,True,True,True,True,SCST Repair-2,,,,,,,,,,,,,,,,
OpenBMI,EEGConformer,0.7712499999999999,1.149371948653882,True,True,True,True,True,True,True,True,SCST Repair-2,,,,,,,,,,,,,,,,
WBCIC,EEGNet,0.7751131924547557,1.3079565485463502,True,True,True,True,True,True,False,False,SCST Repair-2,,,,,,,,,,,,,,,,
WBCIC,EEGConformer,0.7767574797928078,1.340799596274116,True,True,True,True,True,True,False,False,SCST Repair-2,,,,,,,,,,,,,,,,
OpenBMI,ATCNet,0.7529166666666669,1.19364040381448,True,True,True,True,True,True,True,True,current frozen protocol,0.7670416666666667,True,0.5541415607180659,0.4766151001025484,0.6264516482970557,0.1172357688249266,0.1055618489795147,0.1285865326868314,0.1625385971623768,0.1480969888137889,0.1775572687025703,8.786231884057973e-05,-8.786231884057973e-05,6.255956114544818e-05,-0.0294082125603864,
WBCIC,ATCNet,0.7915391635377554,1.2735848091933422,True,True,True,True,True,True,False,False,current frozen protocol,0.7859004396984924,True,0.5798488001318847,0.4225578241217685,0.7227658491109429,0.0985289009034077,0.0715557413441237,0.1210478172108443,0.1602216844170692,0.1405011743853636,0.178654832983055,0.0050152719211279,-0.0050152719211279,0.0040236612337449,-0.061743961352657,
OpenBMI,CBraMod-R1,0.6930833333333333,1.126706162707776,False,True,True,True,True,True,True,False,current frozen protocol,0.726125,False,0.6806957490721446,0.6359099763842225,0.7214564497682847,0.1356232639987561,0.1237372673329948,0.1460867961380738,0.1707147186188396,0.1557051725513898,0.1842784260665428,0.0017433574879227,-0.0017433574879227,0.0057063548218779,-0.0001207729468599,
WBCIC,CBraMod-R1,0.7375659157279933,1.150067588324043,False,True,True,True,True,True,True,False,current frozen protocol,0.7463331588498046,False,0.5668162563364757,0.4501745049066575,0.6750687697205733,0.0950763904821266,0.0751000279538204,0.1140367112627553,0.1306878241229801,0.1107858394966374,0.1494981741700254,0.000647853579985,-0.000647853579985,-0.0007338862095753,-6.03864734299471e-05,
OpenBMI,EEGInceptionMI,,,,,,,,,,False,current frozen protocol,0.7431666666666666,False,,,,,,,,,,,,,,SPECIALIST_NOT_COMPETENT
WBCIC,EEGInceptionMI,,,,,,,,,,False,current frozen protocol,0.6059908221663874,False,,,,,,,,,,,,,,SPECIALIST_NOT_COMPETENT
OpenBMI,FBCNet,,,,,,,,,,False,current frozen protocol,0.6567083333333333,False,,,,,,,,,,,,,,SPECIALIST_NOT_COMPETENT
WBCIC,FBCNet,,,,,,,,,,False,current frozen protocol,0.5956199283454308,False,,,,,,,,,,,,,,SPECIALIST_NOT_COMPETENT
